CID,segment,country,city,state,zipcode,region,date
LH16900,Cons,US,Dover,Delaware,19901,E,6/21/2013
DP13000,Cons,US,New Albany,Indiana,47150,C,4/18/2012
DP13000,Cons,US,New Albany,Indiana,47150,C,4/18/2012
DP13000,Cons,US,New Albany,Indiana,47150,C,4/18/2012
DP13000,Cons,US,New Albany,Indiana,47150,C,4/18/2012
JM15265,Corp,US,New York City,NY,10024,E,12/12/2013
JM15265,Corp,US,New York City,NY,10024,E,12/12/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
TB21055,Cons,US,Troy,NY,12180,E,6/18/2013
KM16720,Cons,US,Los Angeles,California,90004,W,11/24/2012
KM16720,Cons,US,Los Angeles,California,90004,W,11/24/2012
KM16720,Cons,US,Los Angeles,California,90004,W,11/24/2012
KM16720,Cons,US,Los Angeles,California,90004,W,11/24/2012
PS18970,Home,US,Chicago,Illinois,60610,C,4/30/2012
BS11590,Corp,US,Gilbert,AZ,85234,W,5/12/2011
BS11590,Corp,US,Gilbert,AZ,85234,W,5/12/2011
KD16270,Cons,US,Springfield,Virginia,22153,S,5/6/2013
HM14980,Cons,US,New York City,NY,10009,E,9/19/2013
TB21520,Cons,US,Jackson,Michigan,49201,C,9/15/2014
JE15745,Cons,US,Memphis,Tennessee,38109,S,2/5/2012
JE15745,Cons,US,Memphis,Tennessee,38109,S,2/5/2012
JE15745,Cons,US,Memphis,Tennessee,38109,S,2/5/2012
KB16600,Corp,US,Houston,Texas,77041,C,10/12/2014
KB16600,Corp,US,Houston,Texas,77041,C,10/12/2014
KB16600,Corp,US,Houston,Texas,77041,C,10/12/2014
JE15745,Cons,US,Houston,Texas,77070,C,1/12/2011
SC20770,Corp,US,Decatur,Alabama,35601,S,6/13/2013
SC20770,Corp,US,Decatur,Alabama,35601,S,6/13/2013
DN13690,Cons,US,San Francisco,California,94122,W,10/16/2011
DN13690,Cons,US,San Francisco,California,94122,W,10/16/2011
JC16105,Corp,US,Durham,North Carolina,27707,S,3/9/2012
CS12400,Home,US,Chicago,Illinois,60623,C,11/14/2014
PO18865,Cons,US,Columbia,South Carolina,29203,S,5/29/2014
PG18895,Cons,US,Rochester,Minnesota,55901,C,3/11/2014
PG18895,Cons,US,Rochester,Minnesota,55901,C,3/11/2014
GM14455,Home,US,Houston,Texas,77095,C,6/4/2013
JS15685,Corp,US,Los Angeles,California,90036,W,9/18/2013
JS15685,Corp,US,Los Angeles,California,90036,W,9/18/2013
JS15685,Corp,US,Los Angeles,California,90036,W,9/18/2013
KB16315,Cons,US,Minneapolis,Minnesota,55407,C,1/31/2012
KB16315,Cons,US,Minneapolis,Minnesota,55407,C,1/31/2012
KB16315,Cons,US,Minneapolis,Minnesota,55407,C,1/31/2012
RB19705,Home,US,Portland,Oregon,97206,W,7/11/2014
PN18775,Home,US,New York City,NY,10009,E,10/11/2014
KD16345,Cons,US,San Francisco,California,94122,W,6/18/2014
ER13855,Corp,US,Saint Paul,Minnesota,55106,C,7/9/2013
RB19465,Home,US,Chicago,Illinois,60610,C,3/9/2013
RB19465,Home,US,Chicago,Illinois,60610,C,3/9/2013
RB19465,Home,US,Chicago,Illinois,60610,C,3/9/2013
GZ14470,Cons,US,Rochester,Minnesota,55901,C,2/12/2013
LC16870,Cons,US,Aurora,Colorado,80013,W,11/13/2012
LC16870,Cons,US,Aurora,Colorado,80013,W,11/13/2012
LC16870,Cons,US,Aurora,Colorado,80013,W,11/13/2012
JM15250,Cons,US,Charlotte,North Carolina,28205,S,11/24/2014
JM15250,Cons,US,Charlotte,North Carolina,28205,S,11/24/2014
JM15250,Cons,US,Charlotte,North Carolina,28205,S,11/24/2014
PA19060,Home,US,Orland Park,Illinois,60462,C,10/15/2012
CV12805,Corp,US,New York City,NY,10035,E,12/26/2014
CL12565,Cons,US,Urbandale,Iowa,50322,C,4/11/2013
CL12565,Cons,US,Urbandale,Iowa,50322,C,4/11/2013
RC19960,Cons,US,Columbus,Ohio,43229,E,8/25/2011
RC19960,Cons,US,Columbus,Ohio,43229,E,8/25/2011
RC19960,Cons,US,Columbus,Ohio,43229,E,8/25/2011
RC19960,Cons,US,Columbus,Ohio,43229,E,8/25/2011
DK13090,Cons,US,Seattle,Washington,98103,W,2/3/2012
GG14650,Corp,US,Bristol,Tennessee,37620,S,5/4/2012
SC20725,Cons,US,Wilmington,Delaware,19805,E,6/13/2013
SC20725,Cons,US,Wilmington,Delaware,19805,E,6/13/2013
SC20725,Cons,US,Wilmington,Delaware,19805,E,6/13/2013
SC20725,Cons,US,Wilmington,Delaware,19805,E,6/13/2013
SC20725,Cons,US,Wilmington,Delaware,19805,E,6/13/2013
AD10180,Home,US,Houston,Texas,77041,C,12/26/2011
PF19165,Cons,US,Bloomington,Illinois,61701,C,9/20/2011
TS21610,Cons,US,Phoenix,AZ,85023,W,6/11/2014
TS21610,Cons,US,Phoenix,AZ,85023,W,6/11/2014
LS16975,Home,US,Los Angeles,California,90004,W,7/11/2013
LS16975,Home,US,Los Angeles,California,90004,W,7/11/2013
DW13585,Corp,US,Columbus,Ohio,43229,E,3/2/2014
DW13585,Corp,US,Columbus,Ohio,43229,E,3/2/2014
DW13585,Corp,US,Columbus,Ohio,43229,E,3/2/2014
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
LC16885,Cons,US,Roseville,California,95661,W,10/14/2013
JD15895,Corp,US,Philadelphia,Pennsylvania,19140,E,6/9/2013
SH19975,Corp,US,San Francisco,California,94122,W,9/19/2014
SH19975,Corp,US,San Francisco,California,94122,W,9/19/2014
SH19975,Corp,US,San Francisco,California,94122,W,9/19/2014
SG20080,Cons,US,Independence,Missouri,64055,C,12/23/2014
HA14920,Cons,US,Pasadena,California,91104,W,7/9/2012
MG17680,Home,US,Newark,Ohio,43055,E,10/22/2011
JE16165,Corp,US,Franklin,Wisconsin,53132,C,6/12/2013
JE16165,Corp,US,Franklin,Wisconsin,53132,C,6/12/2013
JE16165,Corp,US,Franklin,Wisconsin,53132,C,6/12/2013
JE16165,Corp,US,Franklin,Wisconsin,53132,C,6/12/2013
TW21025,Home,US,Scottsdale,AZ,85254,W,3/14/2013
TW21025,Home,US,Scottsdale,AZ,85254,W,3/14/2013
SP20650,Corp,US,San Jose,California,95123,W,2/6/2012
SP20650,Corp,US,San Jose,California,95123,W,2/6/2012
SP20650,Corp,US,San Jose,California,95123,W,2/6/2012
NK18490,Home,US,Seattle,Washington,98105,W,3/6/2012
DB13060,Cons,US,Seattle,Washington,98115,W,1/3/2011
NP18670,Cons,US,Edmond,Oklahoma,73034,C,11/21/2013
NP18670,Cons,US,Edmond,Oklahoma,73034,C,11/21/2013
TT21070,Cons,US,Los Angeles,California,90045,W,5/13/2013
EM13960,Cons,US,Philadelphia,Pennsylvania,19134,E,12/28/2012
RD19900,Cons,US,Carlsbad,New Mexico,88220,W,11/17/2013
MJ17740,Cons,US,Seattle,Washington,98115,W,8/11/2013
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
BM11140,Cons,US,San Antonio,Texas,78207,C,8/9/2011
CS12130,Cons,US,Los Angeles,California,90004,W,5/8/2011
CS12130,Cons,US,Los Angeles,California,90004,W,5/8/2011
CS12130,Cons,US,Los Angeles,California,90004,W,5/8/2011
JB15400,Corp,US,Chicago,Illinois,60623,C,9/14/2011
JB15400,Corp,US,Chicago,Illinois,60623,C,9/14/2011
SJ20500,Cons,US,Houston,Texas,77036,C,4/22/2014
JE15745,Cons,US,Newark,Ohio,43055,E,11/21/2012
JE15745,Cons,US,Newark,Ohio,43055,E,11/21/2012
JK15640,Home,US,New York City,NY,10009,E,12/15/2012
DK13150,Corp,US,Decatur,Illinois,62521,C,5/12/2011
DK13150,Corp,US,Decatur,Illinois,62521,C,5/12/2011
RM19675,Home,US,Monroe,Louisiana,71203,S,11/19/2011
RM19675,Home,US,Monroe,Louisiana,71203,S,11/19/2011
RM19675,Home,US,Monroe,Louisiana,71203,S,11/19/2011
SK19990,Cons,US,Fairfield,Connecticut,6824,E,3/12/2013
FM14290,Home,US,Los Angeles,California,90032,W,8/26/2011
AM10360,Corp,US,Grand Prairie,Texas,75051,C,7/17/2013
AM10360,Corp,US,Grand Prairie,Texas,75051,C,7/17/2013
MP17470,Home,US,New York City,NY,10035,E,10/14/2012
MP17470,Home,US,New York City,NY,10035,E,10/14/2012
MP17470,Home,US,New York City,NY,10035,E,10/14/2012
MP17470,Home,US,New York City,NY,10035,E,10/14/2012
MP17470,Home,US,New York City,NY,10035,E,10/14/2012
MZ17515,Corp,US,Redlands,California,92374,W,6/11/2012
CB12025,Cons,US,Hamilton,Ohio,45011,E,3/21/2011
CB12025,Cons,US,Hamilton,Ohio,45011,E,3/21/2011
VM21685,Home,US,Westfield,New Jersey,7090,E,7/11/2014
FH14365,Corp,US,Philadelphia,Pennsylvania,19120,E,7/7/2014
FH14365,Corp,US,Philadelphia,Pennsylvania,19120,E,7/7/2014
MB17305,Cons,US,Akron,Ohio,44312,E,6/25/2014
BS11755,Cons,US,Denver,Colorado,80219,W,3/8/2011
BS11755,Cons,US,Denver,Colorado,80219,W,3/8/2011
LC17140,Cons,US,Dallas,Texas,75220,C,12/18/2014
HK14890,Corp,US,Franklin,Tennessee,37064,S,4/6/2014
LE16810,Cons,US,Whittier,California,90604,W,10/12/2014
JH15985,Cons,US,Saginaw,Michigan,48601,C,2/12/2014
JH15985,Cons,US,Saginaw,Michigan,48601,C,2/12/2014
JH15985,Cons,US,Saginaw,Michigan,48601,C,2/12/2014
JH15985,Cons,US,Saginaw,Michigan,48601,C,2/12/2014
JH15985,Cons,US,Saginaw,Michigan,48601,C,2/12/2014
MS17980,Corp,US,Dallas,Texas,75220,C,2/13/2012
VW21775,Corp,US,Medina,Ohio,44256,E,2/1/2012
VW21775,Corp,US,Medina,Ohio,44256,E,2/1/2012
VW21775,Corp,US,Medina,Ohio,44256,E,2/1/2012
VW21775,Corp,US,Medina,Ohio,44256,E,2/1/2012
VW21775,Corp,US,Medina,Ohio,44256,E,2/1/2012
JH15910,Cons,US,Los Angeles,California,90032,W,2/11/2013
JH15910,Cons,US,Los Angeles,California,90032,W,2/11/2013
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
JB15925,Cons,US,Dublin,Ohio,43017,E,12/24/2012
DS13180,Corp,US,Detroit,Michigan,48227,C,8/16/2012
DS13180,Corp,US,Detroit,Michigan,48227,C,8/16/2012
DS13180,Corp,US,Detroit,Michigan,48227,C,8/16/2012
VD21670,Cons,US,Columbia,Tennessee,38401,S,2/28/2012
VD21670,Cons,US,Columbia,Tennessee,38401,S,2/28/2012
EA14035,Corp,US,Charlotte,North Carolina,28205,S,9/13/2011
CS12400,Home,US,Tampa,FL,33614,S,4/13/2014
CS12400,Home,United States,Tampa,FL,33614,S,4/13/2014
CS12400,Home,United States,Tampa,FL,33614,S,4/13/2014
CS12400,Home,United States,Tampa,FL,33614,S,4/13/2014
CS12400,Home,United States,Tampa,FL,33614,S,4/13/2014
DB13120,Corp,United States,Santa Clara,California,95051,W,11/13/2014
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
KL16645,Cons,United States,Chicago,Illinois,60610,C,5/6/2013
DW13480,Home,United States,Lakeville,Minnesota,55044,C,1/6/2011
DW13480,Home,United States,Lakeville,Minnesota,55044,C,1/6/2011
DW13480,Home,United States,Lakeville,Minnesota,55044,C,1/6/2011
DW13480,Home,United States,Lakeville,Minnesota,55044,C,1/6/2011
DW13480,Home,United States,Lakeville,Minnesota,55044,C,1/6/2011
LH17155,Cons,United States,San Francisco,California,94109,W,11/12/2013
KC16540,Cons,United States,San Diego,California,92037,W,9/18/2013
KC16540,Cons,United States,San Diego,California,92037,W,9/18/2013
DL13315,Cons,United States,New York City,NY,10024,E,11/12/2013
DL13315,Cons,United States,New York City,NY,10024,E,11/12/2013
DR12880,Corp,United States,Chicago,Illinois,60623,C,4/12/2012
DR12880,Corp,United States,Chicago,Illinois,60623,C,4/12/2012
DR12880,Corp,United States,Chicago,Illinois,60623,C,4/12/2012
DR12880,Corp,United States,Chicago,Illinois,60623,C,4/12/2012
CC12670,Cons,United States,New York City,NY,10009,E,2/12/2014
CC12670,Cons,United States,New York City,NY,10009,E,2/12/2014
CC12670,Cons,United States,New York City,NY,10009,E,2/12/2014
Dl13600,Corp,United States,Pasadena,Texas,77506,C,6/13/2014
SB20290,Corp,United States,Houston,Texas,77036,C,9/19/2011
SB20290,Corp,United States,Houston,Texas,77036,C,9/19/2011
RC19825,Cons,United States,Chicago,Illinois,60610,C,6/14/2013
AH10210,Cons,United States,Brentwood,California,94513,W,10/11/2012
CB12535,Corp,United States,Chapel Hill,North Carolina,27514,S,6/17/2014
PG18895,Cons,United States,Morristown,New Jersey,7960,E,1/22/2013
CA12310,Corp,United States,Cincinnati,Ohio,45231,E,10/12/2014
CA12310,Corp,United States,Cincinnati,Ohio,45231,E,10/12/2014
KH16690,Corp,United States,San Francisco,California,94110,W,12/29/2014
HA14920,Cons,United States,San Francisco,California,94109,W,7/30/2012
HA14920,Cons,United States,San Francisco,California,94109,W,7/30/2012
HA14920,Cons,United States,San Francisco,California,94109,W,7/30/2012
BB10990,Corp,United States,Inglewood,California,90301,W,9/17/2014
BB10990,Corp,United States,Inglewood,California,90301,W,9/17/2014
AG10495,Corp,United States,Philadelphia,Pennsylvania,19140,E,10/14/2014
AG10495,Corp,United States,Philadelphia,Pennsylvania,19140,E,10/14/2014
AG10495,Corp,United States,Philadelphia,Pennsylvania,19140,E,10/14/2014
AG10495,Corp,United States,Philadelphia,Pennsylvania,19140,E,10/14/2014
SC20725,Cons,United States,Houston,Texas,77070,C,9/26/2012
SC20725,Cons,United States,Houston,Texas,77070,C,9/26/2012
JO15280,Cons,United States,Los Angeles,California,90004,W,2/11/2012
TB21520,Cons,United States,Portland,Oregon,97206,W,2/10/2012
TB21520,Cons,United States,Portland,Oregon,97206,W,2/10/2012
TB21520,Cons,United States,Portland,Oregon,97206,W,2/10/2012
AH10195,Corp,United States,Tamarac,FL,33319,S,12/19/2013
AH10195,Corp,United States,Tamarac,FL,33319,S,12/19/2013
AH10195,Corp,United States,Tamarac,FL,33319,S,12/19/2013
NZ18565,Home,United States,Columbus,Ohio,43229,E,11/21/2013
NZ18565,Home,United States,Columbus,Ohio,43229,E,11/21/2013
NZ18565,Home,United States,Columbus,Ohio,43229,E,11/21/2013
NZ18565,Home,United States,Columbus,Ohio,43229,E,11/21/2013
KL16555,Corp,United States,Colorado Springs,Colorado,80906,W,12/26/2011
KL16555,Corp,United States,Colorado Springs,Colorado,80906,W,12/26/2011
KL16555,Corp,United States,Colorado Springs,Colorado,80906,W,12/26/2011
KL16555,Corp,United States,Colorado Springs,Colorado,80906,W,12/26/2011
KL16555,Corp,United States,Colorado Springs,Colorado,80906,W,12/26/2011
JD15895,Corp,United States,Belleville,New Jersey,7109,E,4/11/2013
JD15895,Corp,United States,Belleville,New Jersey,7109,E,4/11/2013
JD15895,Corp,United States,Belleville,New Jersey,7109,E,4/11/2013
JD15895,Corp,United States,Belleville,New Jersey,7109,E,4/11/2013
JD15895,Corp,United States,Belleville,New Jersey,7109,E,4/11/2013
JH15910,Cons,United States,Chicago,Illinois,60623,C,11/20/2014
AS10225,Corp,United States,New York City,NY,10024,E,4/5/2012
KB16600,Corp,United States,Taylor,Michigan,48180,C,12/30/2011
CR12625,Home,United States,Lakewood,New Jersey,8701,E,1/6/2011
CR12625,Home,United States,Lakewood,New Jersey,8701,E,1/6/2011
SH20395,Cons,United States,Arlington,Virginia,22204,S,4/16/2014
BP11185,Corp,United States,Arvada,Colorado,80004,W,9/13/2013
BP11185,Corp,United States,Arvada,Colorado,80004,W,9/13/2013
BP11185,Corp,United States,Arvada,Colorado,80004,W,9/13/2013
BP11185,Corp,United States,Arvada,Colorado,80004,W,9/13/2013
TS21205,Corp,United States,Hackensack,New Jersey,7601,E,3/10/2011
AG10525,Corp,United States,Saint Petersburg,FL,33710,S,8/16/2011
AG10525,Corp,United States,Saint Petersburg,FL,33710,S,8/16/2011
SP20860,Corp,United States,Philadelphia,Pennsylvania,19143,E,12/28/2011
NM18445,Home,United States,New York City,NY,10024,E,4/11/2011
NM18445,Home,United States,New York City,NY,10024,E,4/11/2011
NM18445,Home,United States,New York City,NY,10024,E,4/11/2011
NM18445,Home,United States,New York City,NY,10024,E,4/11/2011
NM18445,Home,United States,New York City,NY,10024,E,4/11/2011
FA14230,Corp,United States,Long Beach,California,90805,W,9/19/2011
GK14620,Corp,United States,Hesperia,California,92345,W,4/24/2013
GK14620,Corp,United States,Hesperia,California,92345,W,4/24/2013
DJ13510,Corp,United States,Murfreesboro,Tennessee,37130,S,4/11/2014
PO18850,Cons,United States,Philadelphia,Pennsylvania,19143,E,2/9/2013
PO18850,Cons,United States,Philadelphia,Pennsylvania,19143,E,2/9/2013
PO18850,Cons,United States,Philadelphia,Pennsylvania,19143,E,2/9/2013
PO18850,Cons,United States,Philadelphia,Pennsylvania,19143,E,2/9/2013
PO18850,Cons,United States,Philadelphia,Pennsylvania,19143,E,2/9/2013
JL15850,Cons,United States,Philadelphia,Pennsylvania,19134,E,4/26/2013
JL15850,Cons,United States,Philadelphia,Pennsylvania,19134,E,4/26/2013
JL15850,Cons,United States,Philadelphia,Pennsylvania,19134,E,4/26/2013
DB13615,Cons,United States,Los Angeles,California,90045,W,1/9/2012
DB13615,Cons,United States,Los Angeles,California,90045,W,1/9/2012
DB13615,Cons,United States,Los Angeles,California,90045,W,1/9/2012
AC10420,Corp,United States,San Francisco,California,94122,W,7/17/2011
AC10420,Corp,United States,San Francisco,California,94122,W,7/17/2011
KL16645,Cons,United States,Layton,Utah,84041,W,6/22/2012
JD15895,Corp,United States,Philadelphia,Pennsylvania,19140,E,4/13/2011
JD15895,Corp,United States,Philadelphia,Pennsylvania,19140,E,4/13/2011
JD15895,Corp,United States,Philadelphia,Pennsylvania,19140,E,4/13/2011
JD15895,Corp,United States,Philadelphia,Pennsylvania,19140,E,4/13/2011
CS12130,Cons,United States,Austin,Texas,78745,C,12/20/2012
CC12550,Cons,United States,San Francisco,California,94122,W,6/16/2014
TD20995,Cons,United States,Lowell,Massachusetts,1852,E,7/13/2014
TD20995,Cons,United States,Lowell,Massachusetts,1852,E,7/13/2014
TD20995,Cons,United States,Lowell,Massachusetts,1852,E,7/13/2014
AB10060,Home,United States,New York City,NY,10009,E,2/9/2013
AB10060,Home,United States,New York City,NY,10009,E,2/9/2013
AB10060,Home,United States,New York City,NY,10009,E,2/9/2013
AB10060,Home,United States,New York City,NY,10009,E,2/9/2013
AB10060,Home,United States,New York City,NY,10009,E,2/9/2013
JL15505,Cons,United States,New York City,NY,10035,E,4/14/2013
JL15505,Cons,United States,New York City,NY,10035,E,4/14/2013
JL15505,Cons,United States,New York City,NY,10035,E,4/14/2013
JL15505,Cons,United States,New York City,NY,10035,E,4/14/2013
HK14890,Corp,United States,Charlotte,North Carolina,28205,S,4/24/2013
VB21745,Corp,United States,Columbus,Georgia,31907,S,9/3/2014
VB21745,Corp,United States,Columbus,Georgia,31907,S,9/3/2014
KW16435,Cons,United States,New York City,NY,10009,E,2/10/2014
KW16435,Cons,United States,New York City,NY,10009,E,2/10/2014
KW16435,Cons,United States,New York City,NY,10009,E,2/10/2014
KW16435,Cons,United States,New York City,NY,10009,E,2/10/2014
JD16060,Cons,United States,San Francisco,California,94109,W,9/24/2011
MK17905,Corp,United States,Manchester,Connecticut,6040,E,10/22/2013
MK17905,Corp,United States,Manchester,Connecticut,6040,E,10/22/2013
MK17905,Corp,United States,Manchester,Connecticut,6040,E,10/22/2013
MK17905,Corp,United States,Manchester,Connecticut,6040,E,10/22/2013
GT14755,Cons,United States,Harlingen,Texas,78550,C,5/6/2014
GT14755,Cons,United States,Harlingen,Texas,78550,C,5/6/2014
AG10900,Cons,United States,Tucson,AZ,85705,W,7/23/2011
AG10900,Cons,United States,Tucson,AZ,85705,W,7/23/2011
AG10900,Cons,United States,Tucson,AZ,85705,W,7/23/2011
AG10900,Cons,United States,Tucson,AZ,85705,W,7/23/2011
MM18280,Corp,United States,Quincy,Illinois,62301,C,2/10/2013
AR10405,Corp,United States,Franklin,Massachusetts,2038,E,2/9/2014
RA19915,Cons,United States,Houston,Texas,77095,C,4/28/2012
RA19915,Cons,United States,Houston,Texas,77095,C,4/28/2012
RA19915,Cons,United States,Houston,Texas,77095,C,4/28/2012
AS10285,Corp,United States,San Francisco,California,94109,W,10/29/2013
AS10285,Corp,United States,San Francisco,California,94109,W,10/29/2013
LA16780,Corp,United States,Taylor,Michigan,48180,C,6/26/2012
DO13435,Cons,United States,Pembroke Pines,FL,33024,S,2/12/2012
DO13435,Cons,United States,Pembroke Pines,FL,33024,S,2/12/2012
DK13225,Corp,United States,Philadelphia,Pennsylvania,19140,E,3/12/2012
DK13225,Corp,United States,Philadelphia,Pennsylvania,19140,E,3/12/2012
NG18430,Cons,United States,Cincinnati,Ohio,45231,E,11/24/2011
MV18190,Cons,United States,New York City,NY,10009,E,12/12/2014
MV18190,Cons,United States,New York City,NY,10009,E,12/12/2014
JG15115,Cons,United States,Des Moines,Washington,98198,W,9/21/2011
JG15115,Cons,United States,Des Moines,Washington,98198,W,9/21/2011
BP11095,Corp,United States,Peoria,Illinois,61604,C,7/6/2011
VP21730,Home,United States,Las Vegas,Nevada,89115,W,1/7/2014
SS20140,Corp,United States,Warwick,Rhode Island,2886,E,10/18/2014
SS20140,Corp,United States,Warwick,Rhode Island,2886,E,10/18/2014
HP14815,Home,United States,Jackson,Michigan,49201,C,4/11/2012
AG10675,Cons,United States,Houston,Texas,77036,C,9/9/2013
AG10675,Cons,United States,Houston,Texas,77036,C,9/9/2013
AG10675,Cons,United States,Houston,Texas,77036,C,9/9/2013
AG10675,Cons,United States,Houston,Texas,77036,C,9/9/2013
LF17185,Cons,United States,Miami,FL,33180,S,12/24/2011
SP20650,Corp,United States,Wilmington,North Carolina,28403,S,4/16/2011
RF19840,Cons,United States,New York City,NY,10024,E,12/25/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KH16510,Cons,United States,San Francisco,California,94110,W,9/12/2014
KC16675,Corp,United States,Seattle,Washington,98105,W,4/11/2014
KC16675,Corp,United States,Seattle,Washington,98105,W,4/11/2014
CJ12010,Cons,United States,Huntington Beach,California,92646,W,6/25/2014
PB19150,Cons,United States,Los Angeles,California,90004,W,4/15/2013
VB21745,Corp,United States,Richmond,Kentucky,40475,S,7/11/2014
SP20860,Corp,United States,Los Angeles,California,90045,W,5/3/2014
