OID,shipmode,date
CA-2013-157749,SC,5/6/2013
CA-2013-157749,SC,5/6/2013
CA-2013-157749,SC,5/6/2013
CA-2013-157749,SC,5/6/2013
CA-2013-157749,SC,5/6/2013
CA-2013-157749,SC,5/6/2013
CA-2011-131926,SC,1/6/2011
CA-2011-131926,SC,1/6/2011
CA-2011-131926,SC,1/6/2011
CA-2011-131926,SC,1/6/2011
CA-2011-131926,SC,1/6/2011
CA-2013-154739,SC,11/12/2013
CA-2013-145625,Standard,9/18/2013
CA-2013-145625,Standard,9/18/2013
CA-2013-146941,FC,11/12/2013
CA-2013-146941,FC,11/12/2013
US-2012-159982,Standard,4/12/2012
US-2012-159982,Standard,4/12/2012
US-2012-159982,Standard,4/12/2012
US-2012-159982,Standard,4/12/2012
CA-2014-163139,SC,2/12/2014
CA-2014-163139,SC,2/12/2014
CA-2014-163139,SC,2/12/2014
US-2014-155299,Standard,6/13/2014
US-2011-106992,SC,9/19/2011
US-2011-106992,SC,9/19/2011
CA-2013-125318,Standard,6/14/2013
CA-2012-155040,Standard,10/11/2012
CA-2014-136826,Standard,6/17/2014
CA-2013-111010,Standard,1/22/2013
US-2014-145366,Standard,10/12/2014
US-2014-145366,Standard,10/12/2014
CA-2014-163979,SC,12/29/2014
CA-2012-155334,FC,7/30/2012
CA-2012-155334,FC,7/30/2012
CA-2012-155334,FC,7/30/2012
CA-2014-118136,FC,9/17/2014
CA-2014-118136,FC,9/17/2014
CA-2014-132976,Standard,10/14/2014
CA-2014-132976,Standard,10/14/2014
CA-2014-132976,Standard,10/14/2014
CA-2014-132976,Standard,10/14/2014
US-2012-161991,SC,9/26/2012
US-2012-161991,SC,9/26/2012
CA-2012-130890,Standard,2/11/2012
CA-2012-130883,Standard,2/10/2012
CA-2012-130883,Standard,2/10/2012
CA-2012-130883,Standard,2/10/2012
CA-2013-112697,SC,12/19/2013
CA-2013-112697,SC,12/19/2013
CA-2013-112697,SC,12/19/2013
CA-2013-110772,SC,11/21/2013
CA-2013-110772,SC,11/21/2013
CA-2013-110772,SC,11/21/2013
CA-2013-110772,SC,11/21/2013
CA-2011-111451,FC,12/26/2011
CA-2011-111451,FC,12/26/2011
CA-2011-111451,FC,12/26/2011
CA-2011-111451,FC,12/26/2011
CA-2011-111451,FC,12/26/2011
CA-2013-142545,Standard,4/11/2013
CA-2013-142545,Standard,4/11/2013
CA-2013-142545,Standard,4/11/2013
CA-2013-142545,Standard,4/11/2013
CA-2013-142545,Standard,4/11/2013
US-2014-152380,Standard,11/20/2014
CA-2012-144253,SC,4/5/2012
CA-2011-130960,Standard,12/30/2011
CA-2011-111003,Standard,1/6/2011
CA-2011-111003,Standard,1/6/2011
CA-2014-126774,FC,4/16/2014
CA-2013-142902,SC,9/13/2013
CA-2013-142902,SC,9/13/2013
CA-2013-142902,SC,9/13/2013
CA-2013-142902,SC,9/13/2013
CA-2011-120887,Standard,3/10/2011
CA-2011-167850,Standard,8/16/2011
CA-2011-167850,Standard,8/16/2011
CA-2011-164259,FC,12/28/2011
CA-2011-164973,Standard,4/11/2011
CA-2011-164973,Standard,4/11/2011
CA-2011-164973,Standard,4/11/2011
CA-2011-164973,Standard,4/11/2011
CA-2011-164973,Standard,4/11/2011
CA-2011-156601,Standard,9/19/2011
CA-2013-162138,Standard,4/24/2013
CA-2013-162138,Standard,4/24/2013
CA-2014-153339,SC,4/11/2014
US-2013-141544,FC,2/9/2013
US-2013-141544,FC,2/9/2013
US-2013-141544,FC,2/9/2013
US-2013-141544,FC,2/9/2013
US-2013-141544,FC,2/9/2013
US-2013-150147,SC,4/26/2013
US-2013-150147,SC,4/26/2013
US-2013-150147,SC,4/26/2013
CA-2012-137946,SC,1/9/2012
CA-2012-137946,SC,1/9/2012
CA-2012-137946,SC,1/9/2012
CA-2011-129924,Standard,7/17/2011
CA-2011-129924,Standard,7/17/2011
CA-2012-128167,SC,6/22/2012
CA-2011-122336,SC,4/13/2011
CA-2011-122336,SC,4/13/2011
CA-2011-122336,SC,4/13/2011
CA-2011-122336,SC,4/13/2011
US-2012-120712,Standard,12/20/2012
CA-2014-169901,Standard,6/16/2014
CA-2014-134306,Standard,7/13/2014
CA-2014-134306,Standard,7/13/2014
CA-2014-134306,Standard,7/13/2014
CA-2013-129714,FC,2/9/2013
CA-2013-129714,FC,2/9/2013
CA-2013-129714,FC,2/9/2013
CA-2013-129714,FC,2/9/2013
CA-2013-129714,FC,2/9/2013
CA-2013-138520,Standard,4/14/2013
CA-2013-138520,Standard,4/14/2013
CA-2013-138520,Standard,4/14/2013
CA-2013-138520,Standard,4/14/2013
CA-2013-130001,Standard,4/24/2013
CA-2014-155698,FC,9/3/2014
CA-2014-155698,FC,9/3/2014
CA-2014-144904,Standard,2/10/2014
CA-2014-144904,Standard,2/10/2014
CA-2014-144904,Standard,2/10/2014
CA-2014-144904,Standard,2/10/2014
CA-2011-123344,Standard,9/24/2011
CA-2013-155516,1 Day,10/22/2013
CA-2013-155516,1 Day,10/22/2013
CA-2013-155516,1 Day,10/22/2013
CA-2013-155516,1 Day,10/22/2013
CA-2014-104745,Standard,5/6/2014
CA-2014-104745,Standard,5/6/2014
US-2011-119137,Standard,7/23/2011
US-2011-119137,Standard,7/23/2011
US-2011-119137,Standard,7/23/2011
US-2011-119137,Standard,7/23/2011
US-2013-134656,FC,2/10/2013
US-2014-134481,Standard,2/9/2014
CA-2012-130792,Standard,4/28/2012
CA-2012-130792,Standard,4/28/2012
CA-2012-130792,Standard,4/28/2012
CA-2013-134775,FC,10/29/2013
CA-2013-134775,FC,10/29/2013
CA-2012-125395,SC,6/26/2012
US-2012-168935,Standard,2/12/2012
US-2012-168935,Standard,2/12/2012
CA-2012-122756,Standard,3/12/2012
CA-2012-122756,Standard,3/12/2012
CA-2011-115973,FC,11/24/2011
CA-2014-101798,Standard,12/12/2014
CA-2014-101798,Standard,12/12/2014
US-2011-135972,SC,9/21/2011
US-2011-135972,SC,9/21/2011
US-2011-134971,SC,7/6/2011
CA-2014-102946,Standard,1/7/2014
CA-2014-165603,SC,10/18/2014
CA-2014-165603,SC,10/18/2014
CA-2012-122259,Standard,4/11/2012
CA-2013-108987,SC,9/9/2013
CA-2013-108987,SC,9/9/2013
CA-2013-108987,SC,9/9/2013
CA-2013-108987,SC,9/9/2013
CA-2011-113166,FC,12/24/2011
CA-2011-155208,Standard,4/16/2011
CA-2014-117933,Standard,12/25/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-117457,Standard,9/12/2014
CA-2014-142636,Standard,4/11/2014
CA-2014-142636,Standard,4/11/2014
CA-2014-122105,Standard,6/25/2014
CA-2013-148796,Standard,4/15/2013
CA-2014-154816,Standard,7/11/2014
CA-2014-110478,Standard,5/3/2014
CA-2014-110478,Standard,5/3/2014
CA-2011-142048,FC,6/22/2011
CA-2014-125388,Standard,10/20/2014
CA-2014-125388,Standard,10/20/2014
CA-2014-155705,SC,8/22/2014
CA-2014-149160,SC,11/24/2014
CA-2014-149160,SC,11/24/2014
CA-2011-101476,FC,9/13/2011
CA-2014-152275,Standard,2/10/2014
US-2013-123750,Standard,4/16/2013
US-2013-123750,Standard,4/16/2013
US-2013-123750,Standard,4/16/2013
US-2013-123750,Standard,4/16/2013
CA-2013-127369,FC,7/6/2013
US-2011-150574,Standard,12/19/2011
US-2011-150574,Standard,12/19/2011
CA-2013-147375,SC,6/13/2013
CA-2013-147375,SC,6/13/2013
CA-2014-130043,Standard,9/16/2014
CA-2014-157252,SC,1/21/2014
CA-2013-115756,SC,6/9/2013
CA-2013-115756,SC,6/9/2013
CA-2013-115756,SC,6/9/2013
CA-2013-115756,SC,6/9/2013
CA-2013-115756,SC,6/9/2013
CA-2013-115756,SC,6/9/2013
CA-2014-154214,SC,3/21/2014
CA-2013-166674,SC,2/4/2013
CA-2013-166674,SC,2/4/2013
CA-2013-166674,SC,2/4/2013
CA-2013-166674,SC,2/4/2013
CA-2013-166674,SC,2/4/2013
CA-2013-166674,SC,2/4/2013
CA-2014-147277,Standard,10/21/2014
CA-2014-147277,Standard,10/21/2014
CA-2013-100153,Standard,12/14/2013
US-2011-110674,Standard,2/13/2011
US-2013-157945,Standard,2/10/2013
US-2013-157945,Standard,2/10/2013
CA-2012-109638,Standard,12/15/2012
CA-2012-109638,Standard,12/15/2012
CA-2012-109638,Standard,12/15/2012
CA-2013-109869,Standard,4/23/2013
CA-2013-109869,Standard,4/23/2013
CA-2013-109869,Standard,4/23/2013
CA-2013-109869,Standard,4/23/2013
CA-2013-109869,Standard,4/23/2013
US-2012-101399,Standard,1/17/2012
CA-2014-154907,Standard,1/4/2014
US-2013-100419,SC,12/17/2013
CA-2012-154144,Standard,12/20/2012
CA-2011-144666,SC,9/11/2011
CA-2011-144666,SC,9/11/2011
CA-2011-144666,SC,9/11/2011
CA-2011-144666,SC,9/11/2011
CA-2011-144666,SC,9/11/2011
CA-2011-144666,SC,9/11/2011
CA-2013-103891,Standard,7/13/2013
CA-2013-152632,Standard,3/11/2013
CA-2013-100790,Standard,3/7/2013
CA-2013-100790,Standard,3/7/2013
CA-2011-134677,Standard,6/10/2011
CA-2011-127691,Standard,7/22/2011
CA-2011-127691,Standard,7/22/2011
CA-2014-140963,FC,6/14/2014
CA-2014-140963,FC,6/14/2014
CA-2014-140963,FC,6/14/2014
CA-2011-154627,FC,10/29/2011
CA-2011-133753,SC,6/13/2011
CA-2011-133753,SC,6/13/2011
CA-2011-133753,SC,6/13/2011
CA-2011-113362,Standard,9/14/2011
CA-2011-113362,Standard,9/14/2011
CA-2013-169166,Standard,5/15/2013
US-2013-120929,SC,3/19/2013
CA-2012-134782,Standard,12/27/2012
CA-2013-126158,Standard,1/8/2013
CA-2013-126158,Standard,1/8/2013
CA-2013-126158,Standard,1/8/2013
CA-2013-126158,Standard,1/8/2013
US-2013-105578,Standard,5/6/2013
US-2013-105578,Standard,5/6/2013
US-2013-105578,Standard,5/6/2013
US-2013-105578,Standard,5/6/2013
US-2013-105578,Standard,5/6/2013
CA-2014-134978,SC,11/13/2014
CA-2012-145352,Standard,3/16/2012
CA-2012-145352,Standard,3/16/2012
CA-2012-145352,Standard,3/16/2012
CA-2012-145352,Standard,3/16/2012
CA-2014-135307,FC,11/27/2014
CA-2014-135307,FC,11/27/2014
CA-2013-106341,FC,10/21/2013
CA-2014-163405,Standard,12/22/2014
CA-2014-163405,Standard,12/22/2014
CA-2014-127432,Standard,1/23/2014
CA-2014-127432,Standard,1/23/2014
CA-2014-127432,Standard,1/23/2014
CA-2014-127432,Standard,1/23/2014
CA-2012-157812,Standard,3/22/2012
CA-2012-157812,Standard,3/22/2012
CA-2012-157812,Standard,3/22/2012
CA-2014-145142,FC,1/24/2014
US-2013-139486,FC,5/22/2013
US-2013-139486,FC,5/22/2013
CA-2012-158792,Standard,12/26/2012
CA-2014-113558,Standard,10/22/2014
CA-2014-113558,Standard,10/22/2014
US-2012-138303,Standard,3/9/2012
US-2012-138303,Standard,3/9/2012
US-2012-138303,Standard,3/9/2012
CA-2012-102848,SC,7/11/2012
US-2014-129441,Standard,8/9/2014
CA-2013-168753,SC,2/6/2013
CA-2013-168753,SC,2/6/2013
CA-2013-126613,Standard,7/17/2013
US-2014-122637,SC,4/9/2014
CA-2012-147851,Standard,3/12/2012
CA-2012-134894,Standard,7/12/2012
CA-2012-134894,Standard,7/12/2012
CA-2011-140795,FC,2/2/2011
CA-2013-136924,FC,7/15/2013
US-2012-120131,Standard,12/18/2012
CA-2011-103849,Standard,5/16/2011
CA-2011-103849,Standard,5/16/2011
CA-2011-103849,Standard,5/16/2011
CA-2014-162929,FC,11/20/2014
CA-2014-162929,FC,11/20/2014
CA-2012-113173,SC,11/15/2012
CA-2012-113173,SC,11/15/2012
CA-2012-113173,SC,11/15/2012
CA-2013-136406,SC,4/16/2013
CA-2014-112774,FC,9/13/2014
CA-2014-101945,Standard,11/25/2014
CA-2014-100650,SC,4/7/2014
CA-2011-155852,SC,3/3/2011
CA-2013-113243,Standard,6/16/2013
CA-2013-113243,Standard,6/16/2013
CA-2013-113243,Standard,6/16/2013
CA-2014-118731,SC,11/21/2014
CA-2014-118731,SC,11/21/2014
CA-2011-145576,SC,9/14/2011
CA-2011-145576,SC,9/14/2011
CA-2012-130736,FC,7/12/2012
CA-2012-130736,FC,7/12/2012
CA-2014-137099,FC,8/12/2014
CA-2014-156951,Standard,2/10/2014
CA-2014-156951,Standard,2/10/2014
CA-2014-156951,Standard,2/10/2014
CA-2014-156951,Standard,2/10/2014
CA-2014-164826,Standard,12/29/2014
CA-2014-164826,Standard,12/29/2014
CA-2014-164826,Standard,12/29/2014
CA-2014-164826,Standard,12/29/2014
CA-2013-127250,Standard,4/11/2013
CA-2012-149713,SC,9/18/2012
CA-2012-149713,SC,9/18/2012
CA-2012-149713,SC,9/18/2012
CA-2014-118640,Standard,7/21/2014
CA-2014-118640,Standard,7/21/2014
CA-2012-132906,Standard,9/14/2012
CA-2014-145233,Standard,2/12/2014
CA-2014-145233,Standard,2/12/2014
CA-2014-145233,Standard,2/12/2014
CA-2014-145233,Standard,2/12/2014
CA-2014-145233,Standard,2/12/2014
CA-2012-128139,Standard,3/7/2012
CA-2012-128139,Standard,3/7/2012
US-2013-156986,Standard,3/21/2013
US-2013-156986,Standard,3/21/2013
US-2013-156986,Standard,3/21/2013
US-2013-156986,Standard,3/21/2013
CA-2011-135405,Standard,1/14/2011
CA-2011-135405,Standard,1/14/2011
CA-2011-131450,Standard,8/8/2011
CA-2011-131450,Standard,8/8/2011
CA-2011-131450,Standard,8/8/2011
CA-2011-131450,Standard,8/8/2011
CA-2013-120180,FC,7/15/2013
US-2013-100720,Standard,7/17/2013
US-2013-100720,Standard,7/17/2013
US-2013-100720,Standard,7/17/2013
CA-2011-149958,Standard,3/15/2011
CA-2011-149958,Standard,3/15/2011
CA-2011-149958,Standard,3/15/2011
CA-2011-149958,Standard,3/15/2011
CA-2011-149958,Standard,3/15/2011
US-2011-105767,Standard,5/23/2011
US-2011-105767,Standard,5/23/2011
US-2011-105767,Standard,5/23/2011
CA-2013-161816,FC,2/5/2013
CA-2013-161816,FC,2/5/2013
CA-2013-121223,SC,9/14/2013
CA-2013-121223,SC,9/14/2013
CA-2014-138611,SC,11/15/2014
CA-2014-138611,SC,11/15/2014
CA-2014-117947,SC,8/19/2014
CA-2014-117947,SC,8/19/2014
CA-2014-117947,SC,8/19/2014
CA-2014-117947,SC,8/19/2014
CA-2014-117947,SC,8/19/2014
US-2011-111171,Standard,12/26/2011
CA-2012-138009,Standard,3/12/2012
CA-2012-138009,Standard,3/12/2012
CA-2012-138009,Standard,3/12/2012
CA-2012-138009,Standard,3/12/2012
CA-2014-163020,Standard,9/16/2014
CA-2014-153787,Standard,5/20/2014
CA-2014-133431,Standard,12/18/2014
CA-2014-133431,Standard,12/18/2014
US-2013-135720,SC,12/12/2013
US-2013-135720,SC,12/12/2013
US-2013-135720,SC,12/12/2013
CA-2014-144694,SC,9/25/2014
CA-2014-144694,SC,9/25/2014
CA-2012-168004,SC,4/10/2012
US-2013-123470,Standard,8/16/2013
US-2013-123470,Standard,8/16/2013
CA-2013-115917,Standard,5/21/2013
CA-2013-115917,Standard,5/21/2013
CA-2013-147067,Standard,12/19/2013
CA-2014-167913,SC,4/8/2014
CA-2014-167913,SC,4/8/2014
CA-2014-106103,Standard,6/16/2014
US-2014-127719,Standard,7/22/2014
CA-2014-126221,Standard,12/31/2014
CA-2013-103947,Standard,2/4/2013
CA-2013-103947,Standard,2/4/2013
CA-2013-160745,SC,12/12/2013
CA-2013-160745,SC,12/12/2013
CA-2013-160745,SC,12/12/2013
CA-2013-132661,Standard,10/24/2013
CA-2014-140844,Standard,6/20/2014
CA-2014-140844,Standard,6/20/2014
CA-2013-137239,Standard,8/23/2013
CA-2013-137239,Standard,8/23/2013
CA-2013-137239,Standard,8/23/2013
US-2013-156097,1 Day,9/20/2013
US-2013-156097,1 Day,9/20/2013
CA-2012-146563,Standard,8/24/2012
CA-2012-146563,Standard,8/24/2012
CA-2012-146563,Standard,8/24/2012
CA-2012-146563,Standard,8/24/2012
CA-2013-123666,Standard,3/27/2013
CA-2013-143308,1 Day,5/11/2013
CA-2014-132682,SC,9/6/2014
CA-2014-132682,SC,9/6/2014
CA-2014-132682,SC,9/6/2014
CA-2011-156314,FC,12/24/2011
US-2014-106663,Standard,6/14/2014
US-2014-106663,Standard,6/14/2014
US-2014-106663,Standard,6/14/2014
CA-2014-111178,Standard,6/16/2014
CA-2014-130351,FC,6/12/2014
CA-2014-130351,FC,6/12/2014
CA-2014-130351,FC,6/12/2014
US-2014-119438,Standard,3/19/2014
US-2014-119438,Standard,3/19/2014
US-2014-119438,Standard,3/19/2014
US-2014-119438,Standard,3/19/2014
CA-2013-164511,Standard,11/20/2013
CA-2013-164511,Standard,11/20/2013
CA-2013-164511,Standard,11/20/2013
US-2014-168116,1 Day,5/11/2014
US-2014-168116,1 Day,5/11/2014
CA-2011-157784,FC,5/7/2011
CA-2011-157784,FC,5/7/2011
CA-2011-157784,FC,5/7/2011
CA-2014-161480,Standard,12/26/2014
US-2011-117135,SC,6/21/2011
US-2011-117135,SC,6/21/2011
US-2011-117135,SC,6/21/2011
CA-2012-131534,Standard,2/4/2012
CA-2012-131534,Standard,2/4/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2012-119291,FC,5/14/2012
CA-2014-114552,Standard,3/9/2014
CA-2013-163755,SC,5/11/2013
CA-2012-142027,Standard,4/14/2012
CA-2011-138527,Standard,9/17/2011
CA-2011-138527,Standard,9/17/2011
CA-2011-138527,Standard,9/17/2011
CA-2011-112158,FC,2/12/2011
CA-2011-112158,FC,2/12/2011
CA-2011-112158,FC,2/12/2011
CA-2011-113887,FC,5/4/2011
CA-2014-146136,Standard,4/9/2014
US-2014-100048,Standard,5/20/2014
US-2014-100048,Standard,5/20/2014
US-2014-100048,Standard,5/20/2014
CA-2011-153150,SC,1/7/2011
CA-2011-130092,FC,1/15/2011
CA-2014-108910,Standard,9/25/2014
CA-2011-104472,Standard,2/6/2011
CA-2011-104472,Standard,2/6/2011
