PID,category,subcategory,date
FUR_FU10003664,Furniture,Furnishings,9/12/2013
OFF_EN10002986,Office Supplies,Envelopes,12/27/2012
FUR_BO10002545,Furniture,Bookcases,12/27/2012
FUR_CH10004218,Furniture,Chairs,12/27/2012
TEC_PH10000486,Technology,Phones,12/27/2012
TEC_PH10004093,Technology,Phones,9/16/2014
OFF_ST10003479,Office Supplies,Storage,7/18/2013
OFF_ST10003282,Office Supplies,Storage,9/20/2014
TEC_AC10000171,Technology,Accessories,3/14/2013
OFF_BI10003291,Office Supplies,Binders,3/14/2013
OFF_ST10001713,Office Supplies,Storage,10/20/2011
TEC_AC10002167,Technology,Accessories,6/21/2013
TEC_PH10003988,Technology,Phones,6/21/2013
OFF_BI10004410,Office Supplies,Binders,4/18/2012
OFF_LA10002762,Office Supplies,Labels,4/18/2012
FUR_FU10001706,Furniture,Furnishings,4/18/2012
FUR_CH10003061,Furniture,Chairs,4/18/2012
OFF_FA10000304,Office Supplies,Fasteners,12/12/2013
TEC_PH10002447,Technology,Phones,12/12/2013
OFF_ST10000604,Office Supplies,Storage,6/18/2013
OFF_PA10001569,Office Supplies,Paper,6/18/2013
FUR_CH10003968,Furniture,Chairs,6/18/2013
OFF_PA10000587,Office Supplies,Paper,6/18/2013
TEC_AC10002167,Technology,Accessories,6/18/2013
OFF_BI10001460,Office Supplies,Binders,6/18/2013
OFF_AR10001868,Office Supplies,Art,6/18/2013
TEC_AC10004633,Technology,Accessories,11/24/2012
OFF_BI10001078,Office Supplies,Binders,11/24/2012
OFF_PA10003892,Office Supplies,Paper,11/24/2012
FUR_FU10000397,Furniture,Furnishings,11/24/2012
FUR_CH10001146,Furniture,Chairs,4/30/2012
OFF_AR10002671,Office Supplies,Art,5/12/2011
TEC_PH10002726,Technology,Phones,5/12/2011
OFF_PA10000482,Office Supplies,Paper,5/6/2013
OFF_BI10004654,Office Supplies,Binders,9/19/2013
OFF_PA10004675,Office Supplies,Paper,9/15/2014
FUR_CH10000513,Furniture,Chairs,2/5/2012
FUR_FU10003708,Furniture,Furnishings,2/5/2012
OFF_ST10004123,Office Supplies,Storage,2/5/2012
OFF_BI10004182,Office Supplies,Binders,10/12/2014
FUR_FU10000260,Furniture,Furnishings,10/12/2014
OFF_ST10000615,Office Supplies,Storage,10/12/2014
FUR_FU10003194,Furniture,Furnishings,1/12/2011
OFF_AP10002118,Office Supplies,Appliances,6/13/2013
OFF_BI10002309,Office Supplies,Binders,6/13/2013
OFF_AR10002053,Office Supplies,Art,10/16/2011
OFF_ST10002370,Office Supplies,Storage,10/16/2011
OFF_EN10000927,Office Supplies,Envelopes,3/9/2012
OFF_ST10003656,Office Supplies,Storage,11/14/2014
FUR_CH10000863,Furniture,Chairs,5/29/2014
TEC_AC10001998,Technology,Accessories,3/11/2014
OFF_LA10000134,Office Supplies,Labels,3/11/2014
OFF_ST10003442,Office Supplies,Storage,6/4/2013
OFF_AR10004930,Office Supplies,Art,9/18/2013
TEC_PH10004093,Technology,Phones,9/18/2013
OFF_PA10000304,Office Supplies,Paper,9/18/2013
OFF_PA10003177,Office Supplies,Paper,1/31/2012
FUR_FU10003799,Furniture,Furnishings,1/31/2012
OFF_BI10002852,Office Supplies,Binders,1/31/2012
OFF_BI10004738,Office Supplies,Binders,7/11/2014
FUR_FU10000629,Furniture,Furnishings,10/11/2014
OFF_BI10001721,Office Supplies,Binders,6/18/2014
OFF_AP10000358,Office Supplies,Appliances,7/9/2013
OFF_PA10003256,Office Supplies,Paper,3/9/2013
TEC_AC10001767,Technology,Accessories,3/9/2013
OFF_BI10002609,Office Supplies,Binders,3/9/2013
OFF_PA10004040,Office Supplies,Paper,2/12/2013
TEC_AC10001552,Technology,Accessories,11/13/2012
FUR_FU10004006,Furniture,Furnishings,11/13/2012
OFF_BI10002794,Office Supplies,Binders,11/13/2012
TEC_AC10003499,Technology,Accessories,11/24/2014
TEC_PH10002844,Technology,Phones,11/24/2014
OFF_AR10000390,Office Supplies,Art,11/24/2014
TEC_AC10000844,Technology,Accessories,10/15/2012
FUR_FU10001934,Furniture,Furnishings,12/26/2014
OFF_AR10000380,Office Supplies,Art,4/11/2013
OFF_BI10003981,Office Supplies,Binders,4/11/2013
OFF_FA10000621,Office Supplies,Fasteners,8/25/2011
OFF_EN10002600,Office Supplies,Envelopes,8/25/2011
OFF_PA10004965,Office Supplies,Paper,8/25/2011
OFF_EN10002504,Office Supplies,Envelopes,8/25/2011
FUR_TA10001768,Furniture,Tables,2/3/2012
OFF_BI10003650,Office Supplies,Binders,5/4/2012
FUR_FU10002157,Furniture,Furnishings,6/13/2013
OFF_BI10003910,Office Supplies,Binders,6/13/2013
OFF_ST10000777,Office Supplies,Storage,6/13/2013
OFF_EN10002500,Office Supplies,Envelopes,6/13/2013
TEC_PH10003875,Technology,Phones,6/13/2013
FUR_CH10004063,Furniture,Chairs,12/26/2011
FUR_TA10004534,Furniture,Tables,9/20/2011
OFF_BI10003274,Office Supplies,Binders,6/11/2014
OFF_ST10002974,Office Supplies,Storage,6/11/2014
FUR_CH10001146,Furniture,Chairs,7/11/2013
FUR_FU10003773,Furniture,Furnishings,7/11/2013
TEC_PH10002293,Technology,Phones,3/2/2014
OFF_PA10002377,Office Supplies,Paper,3/2/2014
OFF_FA10002780,Office Supplies,Fasteners,3/2/2014
OFF_PA10001804,Office Supplies,Paper,10/14/2013
OFF_PA10001736,Office Supplies,Paper,10/14/2013
OFF_AR10001149,Office Supplies,Art,10/14/2013
OFF_FA10002988,Office Supplies,Fasteners,10/14/2013
OFF_BI10004781,Office Supplies,Binders,10/14/2013
OFF_SU10001218,Office Supplies,Supplies,10/14/2013
FUR_FU10001706,Furniture,Furnishings,10/14/2013
FUR_FU10004848,Furniture,Furnishings,6/9/2013
OFF_AR10000940,Office Supplies,Art,9/19/2014
OFF_EN10004030,Office Supplies,Envelopes,9/19/2014
OFF_PA10004327,Office Supplies,Paper,9/19/2014
OFF_AP10001058,Office Supplies,Appliances,12/23/2014
OFF_ST10003656,Office Supplies,Storage,7/9/2012
FUR_FU10000521,Furniture,Furnishings,10/22/2011
TEC_PH10000215,Technology,Phones,6/12/2013
TEC_PH10001448,Technology,Phones,6/12/2013
FUR_CH10000454,Furniture,Chairs,6/12/2013
OFF_BI10002735,Office Supplies,Binders,6/12/2013
OFF_AP10000326,Office Supplies,Appliances,3/14/2013
TEC_PH10001254,Technology,Phones,3/14/2013
OFF_PA10001950,Office Supplies,Paper,2/6/2012
OFF_PA10002254,Office Supplies,Paper,2/6/2012
OFF_ST10001590,Office Supplies,Storage,2/6/2012
OFF_AR10001547,Office Supplies,Art,3/6/2012
FUR_CH10004063,Furniture,Chairs,1/3/2011
OFF_LA10002475,Office Supplies,Labels,11/21/2013
TEC_PH10004536,Technology,Phones,11/21/2013
OFF_PA10002751,Office Supplies,Paper,5/13/2013
TEC_AC10003657,Technology,Accessories,12/28/2012
OFF_EN10001990,Office Supplies,Envelopes,11/17/2013
OFF_BI10004002,Office Supplies,Binders,8/11/2013
OFF_AR10004441,Office Supplies,Art,8/9/2011
TEC_MA10000822,Technology,Machines,8/9/2011
OFF_ST10000991,Office Supplies,Storage,8/9/2011
FUR_CH10004287,Furniture,Chairs,8/9/2011
OFF_AR10002656,Office Supplies,Art,8/9/2011
OFF_AP10002518,Office Supplies,Appliances,8/9/2011
TEC_PH10003931,Technology,Phones,8/9/2011
OFF_PA10000659,Office Supplies,Paper,5/8/2011
OFF_PA10001144,Office Supplies,Paper,5/8/2011
FUR_CH10003817,Furniture,Chairs,5/8/2011
OFF_AP10000891,Office Supplies,Appliances,9/14/2011
OFF_LA10003148,Office Supplies,Labels,9/14/2011
OFF_AP10002684,Office Supplies,Appliances,4/22/2014
FUR_CH10004698,Furniture,Chairs,11/21/2012
OFF_SU10002189,Office Supplies,Supplies,11/21/2012
OFF_AR10001940,Office Supplies,Art,12/15/2012
OFF_ST10003455,Office Supplies,Storage,5/12/2011
TEC_AC10004659,Technology,Accessories,5/12/2011
TEC_PH10003273,Technology,Phones,11/19/2011
TEC_PH10004896,Technology,Phones,11/19/2011
TEC_AC10002345,Technology,Accessories,11/19/2011
OFF_BI10001890,Office Supplies,Binders,3/12/2013
TEC_AC10002323,Technology,Accessories,8/26/2011
OFF_ST10001328,Office Supplies,Storage,7/17/2013
OFF_PA10001950,Office Supplies,Paper,7/17/2013
FUR_BO10002613,Furniture,Bookcases,10/14/2012
TEC_PH10001552,Technology,Phones,10/14/2012
OFF_PA10000061,Office Supplies,Paper,10/14/2012
FUR_BO10002545,Furniture,Bookcases,10/14/2012
OFF_AR10003514,Office Supplies,Art,10/14/2012
OFF_EN10001509,Office Supplies,Envelopes,6/11/2012
OFF_AR10004685,Office Supplies,Art,3/21/2011
OFF_AR10004027,Office Supplies,Art,3/21/2011
OFF_ST10001414,Office Supplies,Storage,7/11/2014
OFF_BI10000343,Office Supplies,Binders,7/7/2014
OFF_PA10002749,Office Supplies,Paper,7/7/2014
OFF_PA10002666,Office Supplies,Paper,6/25/2014
FUR_TA10004289,Furniture,Tables,3/8/2011
OFF_AP10003622,Office Supplies,Appliances,3/8/2011
OFF_AP10003217,Office Supplies,Appliances,12/18/2014
FUR_FU10002960,Furniture,Furnishings,4/6/2014
TEC_PH10001918,Technology,Phones,10/12/2014
OFF_ST10000642,Office Supplies,Storage,2/12/2014
TEC_PH10001700,Technology,Phones,2/12/2014
OFF_BI10003274,Office Supplies,Binders,2/12/2014
OFF_FA10000134,Office Supplies,Fasteners,2/12/2014
OFF_ST10001522,Office Supplies,Storage,2/12/2014
TEC_AC10001266,Technology,Accessories,2/13/2012
OFF_LA10004544,Office Supplies,Labels,2/1/2012
FUR_BO10004695,Furniture,Bookcases,2/1/2012
TEC_PH10002844,Technology,Phones,2/1/2012
TEC_MA10000864,Technology,Machines,2/1/2012
TEC_AC10000109,Technology,Accessories,2/1/2012
OFF_ST10001328,Office Supplies,Storage,2/11/2013
TEC_PH10002563,Technology,Phones,2/11/2013
OFF_FA10000585,Office Supplies,Fasteners,12/24/2012
OFF_PA10004000,Office Supplies,Paper,12/24/2012
OFF_BI10002852,Office Supplies,Binders,12/24/2012
FUR_FU10000087,Furniture,Furnishings,12/24/2012
TEC_MA10001148,Technology,Machines,12/24/2012
OFF_AR10001958,Office Supplies,Art,12/24/2012
OFF_AR10001026,Office Supplies,Art,8/16/2012
FUR_TA10003748,Furniture,Tables,8/16/2012
OFF_ST10002485,Office Supplies,Storage,8/16/2012
FUR_CH10004860,Furniture,Chairs,2/28/2012
FUR_CH10004477,Furniture,Chairs,2/28/2012
OFF_BI10001679,Office Supplies,Binders,9/13/2011
FUR_TA10001705,Furniture,Tables,4/13/2014
FUR_TA10003473,Furniture,Tables,4/13/2014
OFF_BI10001679,Office Supplies,Binders,4/13/2014
FUR_FU10004017,Furniture,Furnishings,4/13/2014
TEC_AC10003832,Technology,Accessories,4/13/2014
OFF_PA10002479,Office Supplies,Paper,11/13/2014
OFF_PA10003349,Office Supplies,Paper,5/6/2013
FUR_FU10000576,Furniture,Furnishings,5/6/2013
FUR_FU10004351,Furniture,Furnishings,5/6/2013
TEC_PH10000011,Technology,Phones,5/6/2013
FUR_TA10002607,Furniture,Tables,5/6/2013
FUR_FU10002505,Furniture,Furnishings,5/6/2013
OFF_AR10004685,Office Supplies,Art,5/6/2013
FUR_CH10004063,Furniture,Chairs,1/6/2011
OFF_ST10002276,Office Supplies,Storage,1/6/2011
OFF_PA10004082,Office Supplies,Paper,1/6/2011
OFF_AP10002945,Office Supplies,Appliances,1/6/2011
OFF_PA10000061,Office Supplies,Paper,1/6/2011
FUR_CH10002965,Furniture,Chairs,11/12/2013
OFF_PA10004569,Office Supplies,Paper,9/18/2013
TEC_AC10003832,Technology,Accessories,9/18/2013
OFF_ST10001228,Office Supplies,Storage,11/12/2013
OFF_EN10003296,Office Supplies,Envelopes,11/12/2013
FUR_FU10002505,Furniture,Furnishings,4/12/2012
OFF_ST10004804,Office Supplies,Storage,4/12/2012
OFF_ST10001590,Office Supplies,Storage,4/12/2012
TEC_PH10001580,Technology,Phones,4/12/2012
TEC_AC10000290,Technology,Accessories,2/12/2014
OFF_ST10002790,Office Supplies,Storage,2/12/2014
OFF_BI10003460,Office Supplies,Binders,2/12/2014
OFF_AP10002203,Office Supplies,Appliances,6/13/2014
TEC_MA10000822,Technology,Machines,9/19/2011
TEC_MA10003353,Technology,Machines,9/19/2011
TEC_PH10001433,Technology,Phones,6/14/2013
TEC_AC10004469,Technology,Accessories,10/11/2012
OFF_AR10003602,Office Supplies,Art,6/17/2014
OFF_FA10003472,Office Supplies,Fasteners,1/22/2013
OFF_ST10004180,Office Supplies,Storage,10/12/2014
OFF_EN10004386,Office Supplies,Envelopes,10/12/2014
OFF_ST10003208,Office Supplies,Storage,12/29/2014
TEC_AC10003628,Technology,Accessories,7/30/2012
FUR_FU10003274,Furniture,Furnishings,7/30/2012
OFF_BI10002557,Office Supplies,Binders,7/30/2012
OFF_PA10002615,Office Supplies,Paper,9/17/2014
OFF_AR10001427,Office Supplies,Art,9/17/2014
OFF_PA10000673,Office Supplies,Paper,10/14/2014
OFF_PA10004470,Office Supplies,Paper,10/14/2014
OFF_ST10000876,Office Supplies,Storage,10/14/2014
OFF_LA10002043,Office Supplies,Labels,10/14/2014
OFF_BI10004967,Office Supplies,Binders,9/26/2012
TEC_PH10001760,Technology,Phones,9/26/2012
FUR_TA10002903,Furniture,Tables,2/11/2012
OFF_PA10000474,Office Supplies,Paper,2/10/2012
TEC_AC10001956,Technology,Accessories,2/10/2012
OFF_PA10004100,Office Supplies,Paper,2/10/2012
OFF_BI10000778,Office Supplies,Binders,12/19/2013
OFF_AP10002684,Office Supplies,Appliances,12/19/2013
OFF_SU10000646,Office Supplies,Supplies,12/19/2013
OFF_FA10002983,Office Supplies,Fasteners,11/21/2013
OFF_LA10004689,Office Supplies,Labels,11/21/2013
TEC_AC10002001,Technology,Accessories,11/21/2013
FUR_BO10004709,Furniture,Bookcases,11/21/2013
FUR_FU10004091,Furniture,Furnishings,12/26/2011
FUR_CH10001891,Furniture,Chairs,12/26/2011
FUR_FU10002918,Furniture,Furnishings,12/26/2011
OFF_BI10004593,Office Supplies,Binders,12/26/2011
OFF_FA10004854,Office Supplies,Fasteners,12/26/2011
OFF_PA10002105,Office Supplies,Paper,4/11/2013
OFF_ST10002756,Office Supplies,Storage,4/11/2013
OFF_PA10004243,Office Supplies,Paper,4/11/2013
FUR_FU10001861,Furniture,Furnishings,4/11/2013
OFF_BI10002706,Office Supplies,Binders,4/11/2013
FUR_TA10002533,Furniture,Tables,11/20/2014
FUR_FU10002671,Furniture,Furnishings,4/5/2012
OFF_AR10003651,Office Supplies,Art,12/30/2011
OFF_BI10001072,Office Supplies,Binders,1/6/2011
OFF_AR10002135,Office Supplies,Art,1/6/2011
OFF_AR10002804,Office Supplies,Art,4/16/2014
FUR_FU10001918,Furniture,Furnishings,9/13/2013
FUR_CH10004086,Furniture,Chairs,9/13/2013
FUR_FU10001756,Furniture,Furnishings,9/13/2013
OFF_LA10000634,Office Supplies,Labels,9/13/2013
FUR_FU10001588,Furniture,Furnishings,3/10/2011
TEC_PH10002398,Technology,Phones,8/16/2011
OFF_PA10001937,Office Supplies,Paper,8/16/2011
OFF_AR10003373,Office Supplies,Art,12/28/2011
FUR_CH10002602,Furniture,Chairs,4/11/2011
TEC_MA10002927,Technology,Machines,4/11/2011
TEC_PH10004093,Technology,Phones,4/11/2011
TEC_AC10000892,Technology,Accessories,4/11/2011
OFF_ST10002974,Office Supplies,Storage,4/11/2011
OFF_FA10000624,Office Supplies,Fasteners,9/19/2011
OFF_BI10004593,Office Supplies,Binders,4/24/2013
TEC_AC10001908,Technology,Accessories,4/24/2013
FUR_FU10001967,Furniture,Furnishings,4/11/2014
TEC_PH10003645,Technology,Phones,2/9/2013
OFF_ST10000675,Office Supplies,Storage,2/9/2013
FUR_CH10003312,Furniture,Chairs,2/9/2013
OFF_LA10001074,Office Supplies,Labels,2/9/2013
OFF_BI10001524,Office Supplies,Binders,2/9/2013
TEC_PH10004614,Technology,Phones,4/26/2013
OFF_BI10001153,Office Supplies,Binders,4/26/2013
OFF_BI10001982,Office Supplies,Binders,4/26/2013
OFF_BI10001922,Office Supplies,Binders,1/9/2012
TEC_CO10001449,Technology,Copiers,1/9/2012
OFF_BI10004140,Office Supplies,Binders,1/9/2012
OFF_BI10003314,Office Supplies,Binders,7/17/2011
FUR_TA10004575,Furniture,Tables,7/17/2011
OFF_FA10000490,Office Supplies,Fasteners,6/22/2012
OFF_AR10000122,Office Supplies,Art,4/13/2011
OFF_BI10003656,Office Supplies,Binders,4/13/2011
OFF_FA10002780,Office Supplies,Fasteners,4/13/2011
TEC_PH10000702,Technology,Phones,4/13/2011
OFF_ST10000107,Office Supplies,Storage,12/20/2012
TEC_PH10002293,Technology,Phones,6/16/2014
OFF_AR10004027,Office Supplies,Art,7/13/2014
OFF_PA10000249,Office Supplies,Paper,7/13/2014
OFF_AR10001374,Office Supplies,Art,7/13/2014
TEC_AC10000290,Technology,Accessories,2/9/2013
OFF_PA10001970,Office Supplies,Paper,2/9/2013
OFF_BI10002160,Office Supplies,Binders,2/9/2013
OFF_PA10001970,Office Supplies,Paper,2/9/2013
OFF_BI10004995,Office Supplies,Binders,2/9/2013
FUR_BO10002268,Furniture,Bookcases,4/14/2013
OFF_EN10001137,Office Supplies,Envelopes,4/14/2013
OFF_AR10002399,Office Supplies,Art,4/14/2013
OFF_PA10002713,Office Supplies,Paper,4/14/2013
OFF_PA10002666,Office Supplies,Paper,4/24/2013
OFF_AP10001124,Office Supplies,Appliances,9/3/2014
OFF_LA10001158,Office Supplies,Labels,9/3/2014
OFF_LA10001158,Office Supplies,Labels,2/10/2014
FUR_CH10000785,Furniture,Chairs,2/10/2014
OFF_AR10003732,Office Supplies,Art,2/10/2014
FUR_FU10000023,Furniture,Furnishings,2/10/2014
OFF_ST10001713,Office Supplies,Storage,9/24/2011
OFF_BI10002412,Office Supplies,Binders,10/22/2013
OFF_SU10001225,Office Supplies,Supplies,10/22/2013
OFF_ST10002406,Office Supplies,Storage,10/22/2013
FUR_BO10002545,Furniture,Bookcases,10/22/2013
OFF_PA10002036,Office Supplies,Paper,5/6/2014
OFF_ST10002205,Office Supplies,Storage,5/6/2014
OFF_BI10001982,Office Supplies,Binders,7/23/2011
TEC_AC10003911,Technology,Accessories,7/23/2011
OFF_AR10000658,Office Supplies,Art,7/23/2011
TEC_AC10002076,Technology,Accessories,7/23/2011
OFF_PA10003039,Office Supplies,Paper,2/10/2013
FUR_TA10004915,Furniture,Tables,2/9/2014
OFF_AP10000696,Office Supplies,Appliances,4/28/2012
OFF_ST10003327,Office Supplies,Storage,4/28/2012
OFF_BI10000309,Office Supplies,Binders,4/28/2012
OFF_PA10004734,Office Supplies,Paper,10/29/2013
OFF_BI10002225,Office Supplies,Binders,10/29/2013
TEC_AC10004708,Technology,Accessories,6/26/2012
FUR_TA10000617,Furniture,Tables,2/12/2012
TEC_AC10002335,Technology,Accessories,2/12/2012
TEC_MA10001681,Technology,Machines,3/12/2012
FUR_FU10001935,Furniture,Furnishings,3/12/2012
OFF_AR10004757,Office Supplies,Art,11/24/2011
OFF_BI10000050,Office Supplies,Binders,12/12/2014
TEC_AC10001998,Technology,Accessories,12/12/2014
TEC_PH10003012,Technology,Phones,9/21/2011
TEC_CO10002313,Technology,Copiers,9/21/2011
OFF_BI10003982,Office Supplies,Binders,7/6/2011
OFF_BI10004492,Office Supplies,Binders,1/7/2014
OFF_ST10000798,Office Supplies,Storage,10/18/2014
OFF_PA10002552,Office Supplies,Paper,10/18/2014
OFF_SU10002573,Office Supplies,Supplies,4/11/2012
OFF_ST10001580,Office Supplies,Storage,9/9/2013
FUR_BO10004834,Furniture,Bookcases,9/9/2013
OFF_ST10000934,Office Supplies,Storage,9/9/2013
TEC_AC10000158,Technology,Accessories,9/9/2013
OFF_PA10001947,Office Supplies,Paper,12/24/2011
OFF_AR10003478,Office Supplies,Art,4/16/2011
OFF_AP10004249,Office Supplies,Appliances,12/25/2014
TEC_AC10000158,Technology,Accessories,9/12/2014
TEC_CO10004115,Technology,Copiers,9/12/2014
OFF_PA10003724,Office Supplies,Paper,9/12/2014
FUR_TA10002041,Furniture,Tables,9/12/2014
OFF_PA10002893,Office Supplies,Paper,9/12/2014
OFF_LA10003766,Office Supplies,Labels,9/12/2014
OFF_PA10001970,Office Supplies,Paper,9/12/2014
FUR_BO10001972,Furniture,Bookcases,9/12/2014
FUR_CH10003956,Furniture,Chairs,9/12/2014
OFF_PA10000157,Office Supplies,Paper,4/11/2014
FUR_CH10001891,Furniture,Chairs,4/11/2014
OFF_AR10004344,Office Supplies,Art,6/25/2014
FUR_CH10004886,Furniture,Chairs,4/15/2013
OFF_PA10003845,Office Supplies,Paper,7/11/2014
OFF_AR10001573,Office Supplies,Art,5/3/2014
OFF_EN10000483,Office Supplies,Envelopes,5/3/2014
TEC_AC10004114,Technology,Accessories,6/22/2011
FUR_FU10004712,Furniture,Furnishings,10/20/2014
OFF_ST10000918,Office Supplies,Storage,10/20/2014
FUR_CH10000015,Furniture,Chairs,8/22/2014
FUR_FU10003347,Furniture,Furnishings,11/24/2014
OFF_BI10001543,Office Supplies,Binders,11/24/2014
TEC_MA10000029,Technology,Machines,9/13/2011
OFF_AR10000369,Office Supplies,Art,2/10/2014
OFF_BI10004584,Office Supplies,Binders,4/16/2013
TEC_AC10004659,Technology,Accessories,4/16/2013
TEC_AC10004659,Technology,Accessories,4/16/2013
OFF_ST10000617,Office Supplies,Storage,4/16/2013
OFF_ST10003306,Office Supplies,Storage,7/6/2013
OFF_BI10000773,Office Supplies,Binders,12/19/2011
TEC_AC10002600,Technology,Accessories,12/19/2011
TEC_MA10002937,Technology,Machines,6/13/2013
OFF_PA10001970,Office Supplies,Paper,6/13/2013
OFF_PA10002230,Office Supplies,Paper,9/16/2014
FUR_CH10003396,Furniture,Chairs,1/21/2014
FUR_FU10000246,Furniture,Furnishings,6/9/2013
OFF_ST10000060,Office Supplies,Storage,6/9/2013
OFF_ST10003058,Office Supplies,Storage,6/9/2013
OFF_PA10002222,Office Supplies,Paper,6/9/2013
FUR_CH10002372,Furniture,Chairs,6/9/2013
OFF_LA10001317,Office Supplies,Labels,6/9/2013
FUR_FU10000206,Furniture,Furnishings,3/21/2014
OFF_AR10000588,Office Supplies,Art,2/4/2013
OFF_ST10001469,Office Supplies,Storage,2/4/2013
OFF_AR10001953,Office Supplies,Art,2/4/2013
OFF_AR10003156,Office Supplies,Art,2/4/2013
OFF_AR10004974,Office Supplies,Art,2/4/2013
TEC_PH10002365,Technology,Phones,2/4/2013
FUR_TA10001539,Furniture,Tables,10/21/2014
OFF_ST10000142,Office Supplies,Storage,10/21/2014
TEC_AC10001772,Technology,Accessories,12/14/2013
FUR_CH10000225,Furniture,Chairs,2/13/2011
FUR_CH10002331,Furniture,Chairs,2/10/2013
OFF_EN10001415,Office Supplies,Envelopes,2/10/2013
OFF_AP10002472,Office Supplies,Appliances,12/15/2012
TEC_AC10004571,Technology,Accessories,12/15/2012
OFF_BI10001098,Office Supplies,Binders,12/15/2012
FUR_FU10000023,Furniture,Furnishings,4/23/2013
FUR_TA10001889,Furniture,Tables,4/23/2013
OFF_BI10000315,Office Supplies,Binders,4/23/2013
OFF_SU10003505,Office Supplies,Supplies,4/23/2013
OFF_AP10002578,Office Supplies,Appliances,4/23/2013
FUR_FU10002918,Furniture,Furnishings,1/17/2012
FUR_BO10002824,Furniture,Bookcases,1/4/2014
OFF_BI10002194,Office Supplies,Binders,12/17/2013
OFF_PA10004071,Office Supplies,Paper,12/20/2012
OFF_ST10002743,Office Supplies,Storage,9/11/2011
FUR_BO10001601,Furniture,Bookcases,9/11/2011
TEC_PH10002680,Technology,Phones,9/11/2011
OFF_ST10001321,Office Supplies,Storage,9/11/2011
OFF_PA10001509,Office Supplies,Paper,9/11/2011
OFF_PA10003465,Office Supplies,Paper,9/11/2011
TEC_PH10000149,Technology,Phones,7/13/2013
FUR_FU10002671,Furniture,Furnishings,3/11/2013
OFF_AR10003045,Office Supplies,Art,3/7/2013
OFF_ST10000689,Office Supplies,Storage,3/7/2013
TEC_AC10001445,Technology,Accessories,6/10/2011
OFF_AR10002053,Office Supplies,Art,7/22/2011
TEC_AC10002567,Technology,Accessories,7/22/2011
OFF_LA10003923,Office Supplies,Labels,6/14/2014
FUR_BO10001337,Furniture,Bookcases,6/14/2014
TEC_PH10001924,Technology,Phones,6/14/2014
TEC_PH10001363,Technology,Phones,10/29/2011
TEC_PH10000376,Technology,Phones,6/13/2011
TEC_AC10000303,Technology,Accessories,6/13/2011
OFF_AR10001953,Office Supplies,Art,6/13/2011
OFF_ST10001809,Office Supplies,Storage,9/14/2011
OFF_EN10003845,Office Supplies,Envelopes,9/14/2011
TEC_AC10000991,Technology,Accessories,5/15/2013
FUR_TA10001857,Furniture,Tables,3/19/2013
OFF_EN10001434,Office Supplies,Envelopes,12/27/2012
OFF_BI10002498,Office Supplies,Binders,1/8/2013
FUR_FU10004864,Furniture,Furnishings,1/8/2013
FUR_CH10002602,Furniture,Chairs,1/8/2013
FUR_FU10000073,Furniture,Furnishings,1/8/2013
OFF_BI10001670,Office Supplies,Binders,5/6/2013
OFF_BI10001658,Office Supplies,Binders,5/6/2013
FUR_CH10001215,Furniture,Chairs,5/6/2013
OFF_BI10000831,Office Supplies,Binders,5/6/2013
OFF_PA10000357,Office Supplies,Paper,5/6/2013
OFF_BI10003274,Office Supplies,Binders,11/13/2014
OFF_AR10001662,Office Supplies,Art,3/16/2012
OFF_AR10003856,Office Supplies,Art,3/16/2012
OFF_ST10001228,Office Supplies,Storage,3/16/2012
