ord_id,cust_id,ord_date,ord_shipdate
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2012-135545,KM-16720,11/24/2012,11/30/2012
CA-2012-135545,KM-16720,11/24/2012,11/30/2012
CA-2012-135545,KM-16720,11/24/2012,11/30/2012
CA-2012-135545,KM-16720,11/24/2012,11/30/2012
US-2012-164175,PS-18970,4/30/2012,5/5/2012
CA-2011-106376,BS-11590,5/12/2011,10/12/2011
CA-2011-106376,BS-11590,5/12/2011,10/12/2011
CA-2013-119823,KD-16270,5/6/2013,7/6/2013
CA-2013-106075,HM-14980,9/19/2013,9/24/2013
CA-2014-114440,TB-21520,9/15/2014,9/18/2014
US-2012-134026,JE-15745,2/5/2012,4/26/2012
US-2012-134026,JE-15745,2/5/2012,4/26/2012
US-2012-134026,JE-15745,2/5/2012,4/26/2012
US-2014-118038,KB-16600,10/12/2014,12/12/2014
US-2014-118038,KB-16600,10/12/2014,12/12/2014
US-2014-118038,KB-16600,10/12/2014,12/12/2014
US-2011-147606,JE-15745,1/12/2011,11/26/2011
CA-2013-127208,SC-20770,6/13/2013,6/16/2013
CA-2013-127208,SC-20770,6/13/2013,6/16/2013
CA-2011-139451,DN-13690,10/16/2011,12/10/2011
CA-2011-139451,DN-13690,10/16/2011,12/10/2011
CA-2012-149734,JC-16105,3/9/2012,8/9/2012
US-2014-119662,CS-12400,11/14/2014,11/17/2014
CA-2014-140088,PO-18865,5/29/2014,5/31/2014
CA-2014-155558,PG-18895,3/11/2014,10/27/2014
CA-2014-155558,PG-18895,3/11/2014,10/27/2014
CA-2013-159695,GM-14455,6/4/2013,11/4/2013
CA-2013-109806,JS-15685,9/18/2013,9/23/2013
CA-2013-109806,JS-15685,9/18/2013,9/23/2013
CA-2013-109806,JS-15685,9/18/2013,9/23/2013
CA-2012-149587,KB-16315,1/31/2012,5/2/2012
CA-2012-149587,KB-16315,1/31/2012,5/2/2012
CA-2012-149587,KB-16315,1/31/2012,5/2/2012
US-2014-109484,RB-19705,7/11/2014,11/13/2014
CA-2014-161018,PN-18775,10/11/2014,12/11/2014
CA-2014-157833,KD-16345,6/18/2014,6/21/2014
CA-2013-149223,ER-13855,7/9/2013,12/9/2013
CA-2013-158568,RB-19465,3/9/2013,8/30/2013
CA-2013-158568,RB-19465,3/9/2013,8/30/2013
CA-2013-158568,RB-19465,3/9/2013,8/30/2013
CA-2013-129903,GZ-14470,2/12/2013,5/12/2013
US-2012-156867,LC-16870,11/13/2012,11/17/2012
US-2012-156867,LC-16870,11/13/2012,11/17/2012
US-2012-156867,LC-16870,11/13/2012,11/17/2012
CA-2014-119004,JM-15250,11/24/2014,11/29/2014
CA-2014-119004,JM-15250,11/24/2014,11/29/2014
CA-2014-119004,JM-15250,11/24/2014,11/29/2014
CA-2012-129476,PA-19060,10/15/2012,10/20/2012
CA-2014-146780,CV-12805,12/26/2014,12/31/2014
CA-2013-128867,CL-12565,4/11/2013,11/11/2013
CA-2013-128867,CL-12565,4/11/2013,11/11/2013
CA-2011-115259,RC-19960,8/25/2011,8/27/2011
CA-2011-115259,RC-19960,8/25/2011,8/27/2011
CA-2011-115259,RC-19960,8/25/2011,8/27/2011
CA-2011-115259,RC-19960,8/25/2011,8/27/2011
CA-2012-110457,DK-13090,2/3/2012,6/3/2012
US-2012-136476,GG-14650,5/4/2012,10/4/2012
CA-2013-103730,SC-20725,6/13/2013,6/16/2013
CA-2013-103730,SC-20725,6/13/2013,6/16/2013
CA-2013-103730,SC-20725,6/13/2013,6/16/2013
CA-2013-103730,SC-20725,6/13/2013,6/16/2013
CA-2013-103730,SC-20725,6/13/2013,6/16/2013
US-2011-152030,AD-10180,12/26/2011,12/28/2011
US-2011-134614,PF-19165,9/20/2011,9/25/2011
US-2014-107272,TS-21610,6/11/2014,11/13/2014
US-2014-107272,TS-21610,6/11/2014,11/13/2014
US-2013-125969,LS-16975,7/11/2013,11/11/2013
US-2013-125969,LS-16975,7/11/2013,11/11/2013
US-2014-164147,DW-13585,3/2/2014,6/2/2014
US-2014-164147,DW-13585,3/2/2014,6/2/2014
US-2014-164147,DW-13585,3/2/2014,6/2/2014
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-145583,LC-16885,10/14/2013,10/20/2013
CA-2013-110366,JD-15895,6/9/2013,8/9/2013
CA-2014-106180,SH-19975,9/19/2014,9/24/2014
CA-2014-106180,SH-19975,9/19/2014,9/24/2014
CA-2014-106180,SH-19975,9/19/2014,9/24/2014
CA-2014-155376,SG-20080,12/23/2014,12/28/2014
CA-2012-110744,HA-14920,7/9/2012,12/9/2012
CA-2011-110072,MG-17680,10/22/2011,10/28/2011
CA-2013-114489,JE-16165,6/12/2013,10/12/2013
CA-2013-114489,JE-16165,6/12/2013,10/12/2013
CA-2013-114489,JE-16165,6/12/2013,10/12/2013
CA-2013-114489,JE-16165,6/12/2013,10/12/2013
CA-2013-158834,TW-21025,3/14/2013,3/17/2013
CA-2013-158834,TW-21025,3/14/2013,3/17/2013
CA-2012-124919,SP-20650,2/6/2012,5/31/2012
CA-2012-124919,SP-20650,2/6/2012,5/31/2012
CA-2012-124919,SP-20650,2/6/2012,5/31/2012
CA-2012-118948,NK-18490,3/6/2012,5/28/2012
CA-2011-104269,DB-13060,1/3/2011,6/3/2011
CA-2013-114104,NP-18670,11/21/2013,11/25/2013
CA-2013-114104,NP-18670,11/21/2013,11/25/2013
CA-2013-162733,TT-21070,5/13/2013,12/5/2013
CA-2012-119697,EM-13960,12/28/2012,12/31/2012
CA-2013-154508,RD-19900,11/17/2013,11/21/2013
CA-2013-113817,MJ-17740,8/11/2013,12/11/2013
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-139892,BM-11140,8/9/2011,12/9/2011
CA-2011-118962,CS-12130,5/8/2011,9/8/2011
CA-2011-118962,CS-12130,5/8/2011,9/8/2011
CA-2011-118962,CS-12130,5/8/2011,9/8/2011
US-2011-100853,JB-15400,9/14/2011,9/19/2011
US-2011-100853,JB-15400,9/14/2011,9/19/2011
US-2014-152366,SJ-20500,4/22/2014,4/26/2014
US-2012-101511,JE-15745,11/21/2012,11/23/2012
US-2012-101511,JE-15745,11/21/2012,11/23/2012
CA-2012-137225,JK-15640,12/15/2012,12/19/2012
CA-2011-166191,DK-13150,5/12/2011,9/12/2011
CA-2011-166191,DK-13150,5/12/2011,9/12/2011
CA-2011-158274,RM-19675,11/19/2011,11/24/2011
CA-2011-158274,RM-19675,11/19/2011,11/24/2011
CA-2011-158274,RM-19675,11/19/2011,11/24/2011
CA-2013-105018,SK-19990,3/12/2013,11/29/2013
CA-2011-123260,FM-14290,8/26/2011,8/30/2011
CA-2013-157000,AM-10360,7/17/2013,7/23/2013
CA-2013-157000,AM-10360,7/17/2013,7/23/2013
CA-2012-102281,MP-17470,10/14/2012,12/10/2012
CA-2012-102281,MP-17470,10/14/2012,12/10/2012
CA-2012-102281,MP-17470,10/14/2012,12/10/2012
CA-2012-102281,MP-17470,10/14/2012,12/10/2012
CA-2012-102281,MP-17470,10/14/2012,12/10/2012
CA-2012-131457,MZ-17515,6/11/2012,10/31/2012
CA-2011-140004,CB-12025,3/21/2011,3/25/2011
CA-2011-140004,CB-12025,3/21/2011,3/25/2011
CA-2014-107720,VM-21685,7/11/2014,11/14/2014
US-2014-124303,FH-14365,7/7/2014,7/14/2014
US-2014-124303,FH-14365,7/7/2014,7/14/2014
CA-2014-105074,MB-17305,6/25/2014,6/30/2014
CA-2011-133690,BS-11755,3/8/2011,5/8/2011
CA-2011-133690,BS-11755,3/8/2011,5/8/2011
US-2014-116701,LC-17140,12/18/2014,12/22/2014
CA-2014-126382,HK-14890,4/6/2014,8/6/2014
CA-2014-108329,LE-16810,10/12/2014,12/15/2014
CA-2014-135860,JH-15985,2/12/2014,8/12/2014
CA-2014-135860,JH-15985,2/12/2014,8/12/2014
CA-2014-135860,JH-15985,2/12/2014,8/12/2014
CA-2014-135860,JH-15985,2/12/2014,8/12/2014
CA-2014-135860,JH-15985,2/12/2014,8/12/2014
CA-2012-101007,MS-17980,2/13/2012,9/2/2012
CA-2012-146262,VW-21775,2/1/2012,9/1/2012
CA-2012-146262,VW-21775,2/1/2012,9/1/2012
CA-2012-146262,VW-21775,2/1/2012,9/1/2012
CA-2012-146262,VW-21775,2/1/2012,9/1/2012
CA-2012-146262,VW-21775,2/1/2012,9/1/2012
CA-2013-130162,JH-15910,2/11/2013,10/29/2013
CA-2013-130162,JH-15910,2/11/2013,10/29/2013
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-169397,JB-15925,12/24/2012,12/27/2012
CA-2012-163055,DS-13180,8/16/2012,9/8/2012
CA-2012-163055,DS-13180,8/16/2012,9/8/2012
CA-2012-163055,DS-13180,8/16/2012,9/8/2012
US-2012-145436,VD-21670,2/28/2012,4/3/2012
US-2012-145436,VD-21670,2/28/2012,4/3/2012
US-2011-156216,EA-14035,9/13/2011,9/17/2011
US-2014-100930,CS-12400,4/13/2014,8/4/2014
US-2014-100930,CS-12400,4/13/2014,8/4/2014
US-2014-100930,CS-12400,4/13/2014,8/4/2014
US-2014-100930,CS-12400,4/13/2014,8/4/2014
US-2014-100930,CS-12400,4/13/2014,8/4/2014
CA-2014-160514,DB-13120,11/13/2014,11/17/2014
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2013-157749,KL-16645,5/6/2013,10/6/2013
CA-2011-131926,DW-13480,1/6/2011,6/6/2011
CA-2011-131926,DW-13480,1/6/2011,6/6/2011
CA-2011-131926,DW-13480,1/6/2011,6/6/2011
CA-2011-131926,DW-13480,1/6/2011,6/6/2011
CA-2011-131926,DW-13480,1/6/2011,6/6/2011
CA-2013-154739,LH-17155,11/12/2013,12/16/2013
CA-2013-145625,KC-16540,9/18/2013,12/9/2013
CA-2013-145625,KC-16540,9/18/2013,12/9/2013
CA-2013-146941,DL-13315,11/12/2013,12/14/2013
CA-2013-146941,DL-13315,11/12/2013,12/14/2013
US-2012-159982,DR-12880,4/12/2012,11/28/2012
US-2012-159982,DR-12880,4/12/2012,11/28/2012
US-2012-159982,DR-12880,4/12/2012,11/28/2012
US-2012-159982,DR-12880,4/12/2012,11/28/2012
CA-2014-163139,CC-12670,2/12/2014,4/12/2014
CA-2014-163139,CC-12670,2/12/2014,4/12/2014
CA-2014-163139,CC-12670,2/12/2014,4/12/2014
US-2014-155299,Dl-13600,6/13/2014,9/6/2014
US-2011-106992,SB-20290,9/19/2011,9/21/2011
US-2011-106992,SB-20290,9/19/2011,9/21/2011
CA-2013-125318,RC-19825,6/14/2013,7/6/2013
CA-2012-155040,AH-10210,10/11/2012,11/15/2012
CA-2014-136826,CB-12535,6/17/2014,6/21/2014
CA-2013-111010,PG-18895,1/22/2013,1/28/2013
US-2014-145366,CA-12310,10/12/2014,12/14/2014
US-2014-145366,CA-12310,10/12/2014,12/14/2014
CA-2014-163979,KH-16690,12/29/2014,3/1/2015
CA-2012-155334,HA-14920,7/30/2012,7/31/2012
CA-2012-155334,HA-14920,7/30/2012,7/31/2012
CA-2012-155334,HA-14920,7/30/2012,7/31/2012
CA-2014-118136,BB-10990,9/17/2014,9/18/2014
CA-2014-118136,BB-10990,9/17/2014,9/18/2014
CA-2014-132976,AG-10495,10/14/2014,10/18/2014
CA-2014-132976,AG-10495,10/14/2014,10/18/2014
CA-2014-132976,AG-10495,10/14/2014,10/18/2014
CA-2014-132976,AG-10495,10/14/2014,10/18/2014
US-2012-161991,SC-20725,9/26/2012,9/28/2012
US-2012-161991,SC-20725,9/26/2012,9/28/2012
CA-2012-130890,JO-15280,2/11/2012,6/11/2012
CA-2012-130883,TB-21520,2/10/2012,9/26/2012
CA-2012-130883,TB-21520,2/10/2012,9/26/2012
CA-2012-130883,TB-21520,2/10/2012,9/26/2012
CA-2013-112697,AH-10195,12/19/2013,12/21/2013
CA-2013-112697,AH-10195,12/19/2013,12/21/2013
CA-2013-112697,AH-10195,12/19/2013,12/21/2013
CA-2013-110772,NZ-18565,11/21/2013,11/25/2013
CA-2013-110772,NZ-18565,11/21/2013,11/25/2013
CA-2013-110772,NZ-18565,11/21/2013,11/25/2013
CA-2013-110772,NZ-18565,11/21/2013,11/25/2013
CA-2011-111451,KL-16555,12/26/2011,12/28/2011
CA-2011-111451,KL-16555,12/26/2011,12/28/2011
CA-2011-111451,KL-16555,12/26/2011,12/28/2011
CA-2011-111451,KL-16555,12/26/2011,12/28/2011
CA-2011-111451,KL-16555,12/26/2011,12/28/2011
CA-2013-142545,JD-15895,4/11/2013,10/29/2013
CA-2013-142545,JD-15895,4/11/2013,10/29/2013
CA-2013-142545,JD-15895,4/11/2013,10/29/2013
CA-2013-142545,JD-15895,4/11/2013,10/29/2013
CA-2013-142545,JD-15895,4/11/2013,10/29/2013
US-2014-152380,JH-15910,11/20/2014,11/24/2014
CA-2012-144253,AS-10225,4/5/2012,9/5/2012
CA-2011-130960,KB-16600,12/30/2011,4/1/2012
CA-2011-111003,CR-12625,1/6/2011,6/6/2011
CA-2011-111003,CR-12625,1/6/2011,6/6/2011
CA-2014-126774,SH-20395,4/16/2014,4/18/2014
CA-2013-142902,BP-11185,9/13/2013,9/15/2013
CA-2013-142902,BP-11185,9/13/2013,9/15/2013
CA-2013-142902,BP-11185,9/13/2013,9/15/2013
CA-2013-142902,BP-11185,9/13/2013,9/15/2013
CA-2011-120887,TS-21205,3/10/2011,9/27/2011
CA-2011-167850,AG-10525,8/16/2011,9/8/2011
CA-2011-167850,AG-10525,8/16/2011,9/8/2011
CA-2011-164259,SP-20860,12/28/2011,12/30/2011
CA-2011-164973,NM-18445,4/11/2011,9/11/2011
CA-2011-164973,NM-18445,4/11/2011,9/11/2011
CA-2011-164973,NM-18445,4/11/2011,9/11/2011
CA-2011-164973,NM-18445,4/11/2011,9/11/2011
CA-2011-164973,NM-18445,4/11/2011,9/11/2011
CA-2011-156601,FA-14230,9/19/2011,9/24/2011
CA-2013-162138,GK-14620,4/24/2013,4/28/2013
CA-2013-162138,GK-14620,4/24/2013,4/28/2013
CA-2014-153339,DJ-13510,4/11/2014,6/11/2014
US-2013-141544,PO-18850,2/9/2013,8/31/2013
US-2013-141544,PO-18850,2/9/2013,8/31/2013
US-2013-141544,PO-18850,2/9/2013,8/31/2013
US-2013-141544,PO-18850,2/9/2013,8/31/2013
US-2013-141544,PO-18850,2/9/2013,8/31/2013
US-2013-150147,JL-15850,4/26/2013,4/30/2013
US-2013-150147,JL-15850,4/26/2013,4/30/2013
US-2013-150147,JL-15850,4/26/2013,4/30/2013
CA-2012-137946,DB-13615,1/9/2012,4/9/2012
CA-2012-137946,DB-13615,1/9/2012,4/9/2012
CA-2012-137946,DB-13615,1/9/2012,4/9/2012
CA-2011-129924,AC-10420,7/17/2011,12/7/2011
CA-2011-129924,AC-10420,7/17/2011,12/7/2011
CA-2012-128167,KL-16645,6/22/2012,6/26/2012
CA-2011-122336,JD-15895,4/13/2011,4/17/2011
CA-2011-122336,JD-15895,4/13/2011,4/17/2011
CA-2011-122336,JD-15895,4/13/2011,4/17/2011
CA-2011-122336,JD-15895,4/13/2011,4/17/2011
US-2012-120712,CS-12130,12/20/2012,12/24/2012
CA-2014-169901,CC-12550,6/16/2014,6/20/2014
CA-2014-134306,TD-20995,7/13/2014,9/7/2014
CA-2014-134306,TD-20995,7/13/2014,9/7/2014
CA-2014-134306,TD-20995,7/13/2014,9/7/2014
CA-2013-129714,AB-10060,2/9/2013,4/9/2013
CA-2013-129714,AB-10060,2/9/2013,4/9/2013
CA-2013-129714,AB-10060,2/9/2013,4/9/2013
CA-2013-129714,AB-10060,2/9/2013,4/9/2013
CA-2013-129714,AB-10060,2/9/2013,4/9/2013
CA-2013-138520,JL-15505,4/14/2013,9/4/2013
CA-2013-138520,JL-15505,4/14/2013,9/4/2013
CA-2013-138520,JL-15505,4/14/2013,9/4/2013
CA-2013-138520,JL-15505,4/14/2013,9/4/2013
CA-2013-130001,HK-14890,4/24/2013,4/29/2013
CA-2014-155698,VB-21745,9/3/2014,12/3/2014
CA-2014-155698,VB-21745,9/3/2014,12/3/2014
CA-2014-144904,KW-16435,2/10/2014,9/26/2014
CA-2014-144904,KW-16435,2/10/2014,9/26/2014
CA-2014-144904,KW-16435,2/10/2014,9/26/2014
CA-2014-144904,KW-16435,2/10/2014,9/26/2014
CA-2011-123344,JD-16060,9/24/2011,9/29/2011
CA-2013-155516,MK-17905,10/22/2013,10/22/2013
CA-2013-155516,MK-17905,10/22/2013,10/22/2013
CA-2013-155516,MK-17905,10/22/2013,10/22/2013
CA-2013-155516,MK-17905,10/22/2013,10/22/2013
CA-2014-104745,GT-14755,5/6/2014,5/30/2014
CA-2014-104745,GT-14755,5/6/2014,5/30/2014
US-2011-119137,AG-10900,7/23/2011,7/27/2011
US-2011-119137,AG-10900,7/23/2011,7/27/2011
US-2011-119137,AG-10900,7/23/2011,7/27/2011
US-2011-119137,AG-10900,7/23/2011,7/27/2011
US-2013-134656,MM-18280,2/10/2013,9/29/2013
US-2014-134481,AR-10405,2/9/2014,8/28/2014
CA-2012-130792,RA-19915,4/28/2012,5/5/2012
CA-2012-130792,RA-19915,4/28/2012,5/5/2012
CA-2012-130792,RA-19915,4/28/2012,5/5/2012
CA-2013-134775,AS-10285,10/29/2013,10/30/2013
CA-2013-134775,AS-10285,10/29/2013,10/30/2013
CA-2012-125395,LA-16780,6/26/2012,6/29/2012
US-2012-168935,DO-13435,2/12/2012,11/27/2012
US-2012-168935,DO-13435,2/12/2012,11/27/2012
CA-2012-122756,DK-13225,3/12/2012,7/12/2012
CA-2012-122756,DK-13225,3/12/2012,7/12/2012
CA-2011-115973,NG-18430,11/24/2011,11/26/2011
CA-2014-101798,MV-18190,12/12/2014,12/16/2014
CA-2014-101798,MV-18190,12/12/2014,12/16/2014
US-2011-135972,JG-15115,9/21/2011,9/23/2011
US-2011-135972,JG-15115,9/21/2011,9/23/2011
US-2011-134971,BP-11095,7/6/2011,10/6/2011
CA-2014-102946,VP-21730,1/7/2014,6/7/2014
CA-2014-165603,SS-20140,10/18/2014,10/20/2014
CA-2014-165603,SS-20140,10/18/2014,10/20/2014
CA-2012-122259,HP-14815,4/11/2012,10/31/2012
CA-2013-108987,AG-10675,9/9/2013,11/9/2013
CA-2013-108987,AG-10675,9/9/2013,11/9/2013
CA-2013-108987,AG-10675,9/9/2013,11/9/2013
CA-2013-108987,AG-10675,9/9/2013,11/9/2013
CA-2011-113166,LF-17185,12/24/2011,12/26/2011
CA-2011-155208,SP-20650,4/16/2011,4/20/2011
CA-2014-117933,RF-19840,12/25/2014,12/30/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-117457,KH-16510,9/12/2014,12/13/2014
CA-2014-142636,KC-16675,4/11/2014,8/11/2014
CA-2014-142636,KC-16675,4/11/2014,8/11/2014
CA-2014-122105,CJ-12010,6/25/2014,6/29/2014
CA-2013-148796,PB-19150,4/15/2013,4/19/2013
CA-2014-154816,VB-21745,7/11/2014,11/11/2014
CA-2014-110478,SP-20860,5/3/2014,10/3/2014
CA-2014-110478,SP-20860,5/3/2014,10/3/2014
CA-2011-142048,JE-15745,6/22/2011,6/25/2011
CA-2014-125388,MP-17965,10/20/2014,10/24/2014
CA-2014-125388,MP-17965,10/20/2014,10/24/2014
CA-2014-155705,NF-18385,8/22/2014,8/24/2014
CA-2014-149160,JM-15265,11/24/2014,11/27/2014
CA-2014-149160,JM-15265,11/24/2014,11/27/2014
CA-2011-101476,SD-20485,9/13/2011,12/9/2011
CA-2014-152275,KH-16630,2/10/2014,9/10/2014
US-2013-123750,RB-19795,4/16/2013,4/22/2013
US-2013-123750,RB-19795,4/16/2013,4/22/2013
US-2013-123750,RB-19795,4/16/2013,4/22/2013
US-2013-123750,RB-19795,4/16/2013,4/22/2013
CA-2013-127369,DB-13060,7/6/2013,8/6/2013
US-2011-150574,MK-18160,12/19/2011,12/25/2011
US-2011-150574,MK-18160,12/19/2011,12/25/2011
CA-2013-147375,PO-19180,6/13/2013,6/15/2013
CA-2013-147375,PO-19180,6/13/2013,6/15/2013
CA-2014-130043,BB-11545,9/16/2014,9/20/2014
CA-2014-157252,CV-12805,1/21/2014,1/24/2014
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2013-115756,PK-19075,6/9/2013,8/9/2013
CA-2014-154214,TB-21595,3/21/2014,3/26/2014
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2013-166674,RB-19360,2/4/2013,4/4/2013
CA-2014-147277,EB-13705,10/21/2014,10/25/2014
CA-2014-147277,EB-13705,10/21/2014,10/25/2014
CA-2013-100153,KH-16630,12/14/2013,12/18/2013
US-2011-110674,SC-20095,2/13/2011,2/19/2011
US-2013-157945,NF-18385,2/10/2013,9/27/2013
US-2013-157945,NF-18385,2/10/2013,9/27/2013
CA-2012-109638,JH-15985,12/15/2012,12/22/2012
CA-2012-109638,JH-15985,12/15/2012,12/22/2012
CA-2012-109638,JH-15985,12/15/2012,12/22/2012
CA-2013-109869,TN-21040,4/23/2013,4/30/2013
CA-2013-109869,TN-21040,4/23/2013,4/30/2013
CA-2013-109869,TN-21040,4/23/2013,4/30/2013
CA-2013-109869,TN-21040,4/23/2013,4/30/2013
CA-2013-109869,TN-21040,4/23/2013,4/30/2013
US-2012-101399,JS-15940,1/17/2012,1/24/2012
CA-2014-154907,DS-13180,1/4/2014,5/4/2014
US-2013-100419,CC-12670,12/17/2013,12/21/2013
CA-2012-154144,MH-17785,12/20/2012,12/24/2012
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2011-144666,JP-15520,9/11/2011,11/11/2011
CA-2013-103891,KH-16690,7/13/2013,7/20/2013
CA-2013-152632,JE-15475,3/11/2013,10/28/2013
CA-2013-100790,JG-15805,3/7/2013,6/27/2013
CA-2013-100790,JG-15805,3/7/2013,6/27/2013
CA-2011-134677,XP-21865,6/10/2011,10/10/2011
CA-2011-127691,EM-14065,7/22/2011,7/27/2011
